"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature"
1210, 9.448909848863886e-01, 5.294034771814943e-02, 1.287214979893451e+00, 3.019440465845921e+02, -3.151516606506243e+01, 3.104858931150546e+05, 1.098745405254899e+05, 2.973557439327193e+02
1211, 9.370270898137986e-01, 5.658998357702539e-02, 1.281996268966990e+00, 3.035684249443005e+02, -3.194271538472429e+01, 3.094237997848334e+05, 1.092337325727750e+05, 2.968249190489925e+02
1212, 6.145211073820263e-01, -1.338482435977350e-01, 1.159780883500493e+00, 3.409045898329157e+02, 2.619028217745553e+01, 2.849326533849391e+05, 9.381375852138440e+04, 2.817869880247499e+02
1213, 6.458111350040061e-01, -1.297620453037093e-01, 1.169748740084294e+00, 3.398408922755736e+02, 2.762647668129392e+01, 2.870563216941133e+05, 9.494560121575248e+04, 2.827565070513246e+02
1214, 2.427119121649829e-01, -1.375688726605936e-01, 1.025555715939122e+00, 3.464895011122446e+02, -1.096253519604738e+01, 2.559635128805628e+05, 7.894930125437105e+04, 2.681756712906642e+02
1215, 2.573101343393849e-01, -1.391475597190414e-01, 1.017855386278774e+00, 3.464487964431311e+02, -8.244791532614880e+00, 2.542828038995212e+05, 7.811551687779749e+04, 2.673508547302857e+02
1216, 2.718120463925993e-01, -1.406536609843282e-01, 1.014700443864617e+00, 3.464154140388023e+02, -5.467029701433690e+00, 2.535909197077168e+05, 7.777745884777216e+04, 2.670215082717453e+02
1217, 2.866836649644728e-01, -1.420642909467370e-01, 1.008646729473380e+00, 3.463630803052851e+02, -2.826656578374702e+00, 2.522723988050607e+05, 7.711958512954151e+04, 2.663519895925041e+02
1218, 9.998224421538934e-01, -2.539185892007610e-03, 1.404203696491284e+00, 2.822749121704025e+02, 1.953198151112062e+01, 3.356218001410175e+05, 1.228457270942593e+05, 3.047616305516140e+02
1219, 9.998224435615061e-01, 2.539184411382313e-03, 1.387473809779487e+00, 2.545014929034261e+02, -1.497621811565584e+01, 3.302386493828365e+05, 1.227265914485934e+05, 3.081372651856665e+02
1220, -8.275623027267823e-03, -4.187795770425471e-02, 1.446246154237139e+00, 2.577376111973410e+02, -7.221435643787098e+01, 3.444309570387133e+05, 1.278648592184061e+05, 3.079919269658335e+02
1221, -1.418306337292192e-02, 3.664295488212775e-03, 1.563617939432209e+00, 1.807357793578203e+02, 5.286727196107029e+01, 3.679733051371324e+05, 1.426536398411325e+05, 3.178209768062808e+02
1222, 1.000806950229869e+00, -5.498434892072352e-04, 1.389090170190065e+00, 2.658626143605658e+02, 9.347207569487587e+00, 3.311292475652464e+05, 1.222622525059639e+05, 3.066142253226999e+02
1223, 9.887764029348226e-01, -3.456516384621146e-02, 1.330931055718677e+00, 3.086970570023565e+02, 2.840986777944526e+01, 3.207819734898710e+05, 1.138716215869563e+05, 2.980507998411704e+02
1224, 9.986072970771730e-01, 2.108181327479928e-02, 1.338586240405383e+00, 2.816849225806116e+02, -1.975207664735025e+01, 3.207324257399418e+05, 1.163794248352105e+05, 3.028727461525346e+02
1225, -1.763319166101182e-02, 1.870337310396224e-02, 1.494818016528979e+00, 2.250447845569055e+02, 8.974037914397870e+01, 3.542938436431565e+05, 1.338639405570233e+05, 3.119648236762724e+02
1226, 9.735773479949601e-01, 4.820181277482870e-02, 1.305098323227084e+00, 2.968812897636938e+02, -2.734021348151736e+01, 3.141549957043575e+05, 1.120406510003852e+05, 2.990630355610854e+02
1227, 1.000919909926071e+00, -8.186650886516067e-03, 1.378349678762334e+00, 2.934561939144934e+02, 2.063348673111705e+01, 3.305147526476012e+05, 1.196485246755420e+05, 3.023975608857589e+02
1228, 9.959928991877280e-01, -2.544976997101420e-02, 1.344208506845377e+00, 3.048511418582701e+02, 2.575872652469742e+01, 3.235062216421441e+05, 1.154764154014334e+05, 2.992657388607864e+02
1229, -1.850716201462222e-02, -1.204623354237979e-02, 1.545337717750450e+00, 2.038426460022139e+02, -1.388599290057981e+01, 3.643280576242010e+05, 1.403285664460757e+05, 3.163392125131365e+02
1230, 1.594725536336204e-02, -7.167671367526235e-02, 1.325731708402030e+00, 3.025927910813299e+02, -7.763122393222486e+01, 3.197580787852390e+05, 1.131809459226567e+05, 2.974048323773398e+02
1231, -4.657931892952377e-03, -4.782317685288992e-02, 1.422147170100262e+00, 2.683653807116408e+02, -7.605259279700881e+01, 3.395483198113021e+05, 1.248775666115667e+05, 3.058934877399608e+02
1232, 3.315545431730062e-01, 1.678150398431076e-01, 8.453711704842816e-01, 3.320692833190235e+02, 1.605663073079493e+00, 2.158279321520107e+05, 6.024261178183038e+04, 2.482485407919155e+02
1233, 1.000806950774528e+00, 5.498419974378810e-04, 1.366732296304160e+00, 2.302963763939830e+02, -5.347872536268893e+00, 3.240141200737933e+05, 1.218404081410097e+05, 3.105547908482978e+02
1234, -8.275618056678254e-03, 4.187794081205373e-02, 1.376849011343994e+00, 2.724138928236061e+02, 1.165800727907217e+02, 3.302761508996024e+05, 1.193566664940203e+05, 3.019887115347016e+02
