"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Grid_Velocity_x","Grid_Velocity_y"
13054, 2.435863267882940e-01, 6.130657808276000e-03, 1.400353431271735e+00, 4.890226698162206e+01, -1.630422462332444e+02, 2.938539747175998e+05, 4.668371832201375e+01, 9.370835364849022e+06, 0.000000000000000e+00, -1.500000000000000e+02
13055, 2.438238218701730e-01, 6.360194818478000e-03, 1.399171729755723e+00, 4.887776826584527e+01, -1.623672713599953e+02, 2.935231219224583e+05, 4.717247751807360e+01, 9.387374274460435e+06, 0.000000000000000e+00, -1.500000000000000e+02
13056, 2.440601340153450e-01, 6.591182481567000e-03, 1.397853723260894e+00, 4.889844440086201e+01, -1.616025229620318e+02, 2.931656621740311e+05, 4.769464332871347e+01, 9.409506377733285e+06, 0.000000000000000e+00, -1.500000000000000e+02
13057, 2.442953735294990e-01, 6.823826672289000e-03, 1.396491948960151e+00, 4.896653151559915e+01, -1.607630734654775e+02, 2.927783609142728e+05, 4.824734652296667e+01, 9.437354577818807e+06, 0.000000000000000e+00, -1.500000000000000e+02
13058, 2.445294148457380e-01, 7.058052436938000e-03, 1.394972019641051e+00, 4.908325470317733e+01, -1.598367768009942e+02, 2.923575312254687e+05, 4.884664315451673e+01, 9.471779078355305e+06, 0.000000000000000e+00, -1.500000000000000e+02
13059, 2.447620877963320e-01, 7.293702997705000e-03, 1.393369190800791e+00, 4.925104419164013e+01, -1.588372559500261e+02, 2.919013904596856e+05, 4.951673974431353e+01, 9.512919632170821e+06, 0.000000000000000e+00, -1.500000000000000e+02
13060, 2.449935253838250e-01, 7.530888308454000e-03, 1.391608899490398e+00, 4.946291644245787e+01, -1.577806713496449e+02, 2.914148235971604e+05, 5.026986954488922e+01, 9.561331512159282e+06, 0.000000000000000e+00, -1.500000000000000e+02
13061, 2.452238074794580e-01, 7.769493616214000e-03, 1.389728963074497e+00, 4.969476127751739e+01, -1.567196669794927e+02, 2.908963354667637e+05, 5.103600849129340e+01, 9.614857588009851e+06, 0.000000000000000e+00, -1.500000000000000e+02
13062, 2.454528732052270e-01, 8.009203739657000e-03, 1.387733294081481e+00, 4.988150226588306e+01, -1.557354127703792e+02, 2.903659583040201e+05, 5.176494612798632e+01, 9.670186501152312e+06, 0.000000000000000e+00, -1.500000000000000e+02
13063, 2.456808852007390e-01, 8.249881684939999e-03, 1.385729756402764e+00, 4.996185263463694e+01, -1.549327594994956e+02, 2.898504216515879e+05, 5.254046199159997e+01, 9.723364906928251e+06, 0.000000000000000e+00, -1.500000000000000e+02
13064, 2.459079896139520e-01, 8.491280439657000e-03, 1.383830795065050e+00, 4.998692746451776e+01, -1.542830205296704e+02, 2.893829944130006e+05, 5.321709067112280e+01, 9.765402489979725e+06, 0.000000000000000e+00, -1.500000000000000e+02
13065, 2.461344099070070e-01, 8.733262602755001e-03, 1.381939256497078e+00, 4.975994291286360e+01, -1.539322037780256e+02, 2.889467211634911e+05, 5.377367825485610e+01, 9.794540032618014e+06, 0.000000000000000e+00, -1.500000000000000e+02
13066, 2.463604439726240e-01, 8.976234176227000e-03, 1.380512291941180e+00, 4.939235904786191e+01, -1.537625380037717e+02, 2.886213179587527e+05, 5.443157075593363e+01, 9.808046186584275e+06, 0.000000000000000e+00, -1.500000000000000e+02
13067, 2.465858881212640e-01, 9.220379741325000e-03, 1.379102220619142e+00, 4.912170204150999e+01, -1.534144273305456e+02, 2.883073043134497e+05, 5.511928752867567e+01, 9.812055223728389e+06, 0.000000000000000e+00, -1.500000000000000e+02
13068, 2.468102307546020e-01, 9.465529728750000e-03, 1.377871786412753e+00, 4.895553083563799e+01, -1.529035547375590e+02, 2.879819805500149e+05, 5.579885256535393e+01, 9.816702421195218e+06, 0.000000000000000e+00, -1.500000000000000e+02
13069, 2.470331971848700e-01, 9.711683803157000e-03, 1.376455295545177e+00, 4.889117415064977e+01, -1.521850730624164e+02, 2.876218723179934e+05, 5.646264037484575e+01, 9.828302317144452e+06, 0.000000000000000e+00, -1.500000000000000e+02
13070, 2.472546751179460e-01, 9.958994729166001e-03, 1.375026407933596e+00, 4.892648342089424e+01, -1.512976636090749e+02, 2.872139319234648e+05, 5.710547794616124e+01, 9.848256317579089e+06, 0.000000000000000e+00, -1.500000000000000e+02
13071, 2.474746044205100e-01, 1.020754857459000e-02, 1.373309446272996e+00, 4.904018475746820e+01, -1.502450986390124e+02, 2.867464153603158e+05, 5.778635729220807e+01, 9.880254392265266e+06, 0.000000000000000e+00, -1.500000000000000e+02
13072, 2.476931494216840e-01, 1.045757550045800e-02, 1.371491271595723e+00, 4.924419090838592e+01, -1.490567435495211e+02, 2.862209551473326e+05, 5.860579176123417e+01, 9.925341789232567e+06, 0.000000000000000e+00, -1.500000000000000e+02
