"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
57, 3.141604807394600e-02, -1.585116162986600e-02, 1.902979004506282e+00, 1.170595426354167e+02, -2.467430582953223e-05, 4.185962333256588e+05, 4.405359932135300e+00, 4.494506223114151e+03
58, 3.217433774999900e-02, -1.835744448798000e-02, 1.902978826908154e+00, 1.170596233675941e+02, -6.171240920431127e-06, 4.185961919899068e+05, 4.380969401908793e+00, 4.471596120743928e+03
59, 3.298803047964800e-02, -2.080812721384200e-02, 1.902978654371890e+00, 1.170598985048743e+02, 1.108149500913041e-05, 4.185961599177416e+05, 4.355614452940065e+00, 4.447775714719894e+03
60, 3.383736583203800e-02, -2.319619785753400e-02, 1.902978506688243e+00, 1.170602300502657e+02, 1.237666862283155e-05, 4.185961306484260e+05, 4.330260002716039e+00, 4.423952109667819e+03
61, 2.647644020914100e-02, -6.169400281805000e-03, 1.902979790400725e+00, 1.170603277682208e+02, -9.009017627402113e-07, 4.185965538622095e+05, 4.551812166530323e+00, 4.631814151632952e+03
62, 2.948004589710800e-02, -8.463132980364000e-03, 1.902979259254939e+00, 1.170601340126897e+02, -1.846017608196004e-05, 4.185963790458756e+05, 4.461866767766274e+00, 4.547497453690418e+03
63, 2.416212636478500e-02, -1.143311433790000e-03, 1.902980354108825e+00, 1.170603185965084e+02, 4.589086911532574e-05, 4.185966720477112e+05, 4.612819530337120e+00, 4.688939530720981e+03
64, 2.095362290718900e-02, -9.509621410000000e-05, 1.902981308331198e+00, 1.170602198842452e+02, 2.631839687680297e-05, 4.185969215211215e+05, 4.709866365056352e+00, 4.779683875569251e+03
65, 1.759746515776400e-02, 1.772794305689000e-03, 1.902980907615626e+00, 1.170601463403090e+02, -6.905832807558196e-05, 4.185968417977208e+05, 4.816369855325346e+00, 4.879107177634452e+03
66, 3.467272485566400e-02, -2.549621922032700e-02, 1.902978355030839e+00, 1.170604395485382e+02, -2.471961420318699e-06, 4.185960940740774e+05, 4.304959150770111e+00, 4.400165539792360e+03
67, 1.098913000000000e-02, 1.846081776226000e-03, 1.902972630660197e+00, 1.170627020828749e+02, -3.493018517000562e-04, 4.185946700811703e+05, 5.044608567151731e+00, 5.091599902006871e+03
68, 3.521604013116400e-02, -2.741348503447300e-02, 1.902978238634411e+00, 1.170604638467644e+02, -2.054989127537431e-05, 4.185960661875083e+05, 4.289339040005494e+00, 4.385474630383768e+03
69, 2.893335885987400e-02, -6.313039375526000e-03, 1.902979343315021e+00, 1.170602966121439e+02, -7.763576509090023e-06, 4.185964174151079e+05, 4.476820059790409e+00, 4.561526317245864e+03
70, 2.716018426609400e-02, -1.642010504462000e-03, 1.902979779318767e+00, 1.170603368370262e+02, 3.481093333667222e-05, 4.185965152339372e+05, 4.525723772518399e+00, 4.607382558457360e+03
71, 2.808970141581600e-02, -4.161422426584000e-03, 1.902979527734590e+00, 1.170603828940641e+02, 9.298605808134500e-06, 4.185964679728044e+05, 4.499746679491206e+00, 4.583022884570545e+03
72, 3.335587519455000e-02, -1.409047052962200e-02, 1.902978649437154e+00, 1.170596201902270e+02, -2.691404314937917e-05, 4.185961345739720e+05, 4.352410430204627e+00, 4.444756978885822e+03
73, 3.268375899908100e-02, -1.162047027738800e-02, 1.902978735897106e+00, 1.170598214196995e+02, -2.686760642775588e-05, 4.185961839947384e+05, 4.371876428022091e+00, 4.463037211035108e+03
74, 3.205681954909300e-02, -9.187983883776001e-03, 1.902978793007734e+00, 1.170600611767821e+02, -1.944561051250351e-05, 4.185962309086912e+05, 4.388601272126060e+00, 4.478731460252617e+03
75, 3.406320291673900e-02, -1.655606823670700e-02, 1.902978509242571e+00, 1.170595612913106e+02, -1.591834735876804e-05, 4.185960895288201e+05, 4.330929583115829e+00, 4.424565704590526e+03
76, 3.481830122858000e-02, -1.899856416100000e-02, 1.902978339552862e+00, 1.170597016757541e+02, 1.092674726782861e-06, 4.185960531603556e+05, 4.307503736286046e+00, 4.402534443688051e+03
77, 1.438002070961800e-02, 3.631080406100000e-03, 1.902986211911473e+00, 1.170594926607238e+02, -2.478182241677765e-04, 4.185981739267647e+05, 4.926656463932119e+00, 4.981883449016236e+03
78, 3.562169803282200e-02, -2.142436455684900e-02, 1.902978183651697e+00, 1.170599948415572e+02, 1.215307277210700e-05, 4.185960239348250e+05, 4.283184693385014e+00, 4.379659171099610e+03
79, 3.647819618482000e-02, -2.388151079812000e-02, 1.902978037103859e+00, 1.170602999361012e+02, 8.386090812824661e-06, 4.185959924095545e+05, 4.257511483952027e+00, 4.355501132632855e+03
80, 3.143582531307100e-02, -6.830691770855000e-03, 1.902978872116932e+00, 1.170602561864350e+02, -8.964121541790757e-06, 4.185962733460045e+05, 4.404323491558148e+00, 4.493490958807620e+03
81, 2.638214965057300e-02, 1.249327374071000e-03, 1.902979979202714e+00, 1.170601167076616e+02, 5.084302536062394e-05, 4.185965447349840e+05, 4.547168059580658e+00, 4.627496231806407e+03
82, 2.345216236113300e-02, 2.115144286495000e-03, 1.902980520010439e+00, 1.170600362480085e+02, 6.181142541745435e-05, 4.185966987463695e+05, 4.635275719355829e+00, 4.709977610542284e+03
83, 2.040486578261300e-02, 3.447623841144000e-03, 1.902981323138992e+00, 1.170599003244367e+02, 5.015915887286546e-05, 4.185969191435131e+05, 4.730711818093193e+00, 4.799182841991066e+03
