"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
3388, 1.069312615153620e+01, -1.736592295467750e+02, 9.998130255991854e-01, 1.000626683333780e+00, 4.544591895762874e-05, 2.499334871163156e+01, 1.504793340846561e-07, 1.217603344391839e-01, 9.797051223412781e+00, 1.000074036105179e+00, 2.702097264979409e-01, -2.213445786626522e-03, 1.619093499277484e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.235633911440345e-06
3389, 6.781484350356530e+00, -1.734377361964840e+02, 9.998132792375000e-01, 1.000623415391669e+00, 4.855094535354639e-05, 2.499335438439035e+01, 1.562088830373848e-07, 1.260607729063372e-01, 9.797054849214923e+00, 1.000074152519190e+00, 2.702087597856220e-01, -2.206194182342358e-03, 1.619093646292684e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.238923988762896e-06
3390, 2.727825517340000e+00, -1.731288637106740e+02, 9.998135586144959e-01, 1.000620114142935e+00, 5.156330774338958e-05, 2.499336074749322e+01, 1.623022966090590e-07, 1.306326753998081e-01, 9.797058769491715e+00, 1.000074273247436e+00, 2.702077765421635e-01, -2.198353628759975e-03, 1.619093798756173e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.242200974965559e-06
3391, -1.476709289301510e+00, -1.727223852006720e+02, 9.998138427424849e-01, 1.000616686063641e+00, 5.447403899743873e-05, 2.499336726280553e+01, 1.687797857513987e-07, 1.354915136760278e-01, 9.797062802216828e+00, 1.000074400701995e+00, 2.702067568582958e-01, -2.190288178532285e-03, 1.619093959714080e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.245453398452797e-06
3392, -5.841432172190000e+00, -1.722066180548760e+02, 9.998141476277115e-01, 1.000613187262993e+00, 5.727755926216374e-05, 2.499337434962519e+01, 1.756631804449485e-07, 1.406539656478031e-01, 9.797067095845335e+00, 1.000074534026589e+00, 2.702057116753870e-01, -2.181700921518370e-03, 1.619094128085036e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.248671036164381e-06
3393, -1.037604914363560e+01, -1.715682070503580e+02, 9.998144638703809e-01, 1.000609571289437e+00, 5.996539724160731e-05, 2.499338177120749e+01, 1.829759441592508e-07, 1.461379240435390e-01, 9.797071572382569e+00, 1.000074674661832e+00, 2.702046307951027e-01, -2.172747847051681e-03, 1.619094305688344e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.251844767249838e-06
3394, -1.509056254944140e+01, -1.707918807637360e+02, 9.998147993247283e-01, 1.000605861444796e+00, 6.252632558107441e-05, 2.499338973789317e+01, 1.907430893838061e-07, 1.519624315823134e-01, 9.797076308200095e+00, 1.000074822547360e+00, 2.702035183950321e-01, -2.163276211998522e-03, 1.619094492447769e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.254966518033210e-06
3395, -1.999512056372800e+01, -1.698601821714980e+02, 9.998151503283816e-01, 1.000602035616990e+00, 6.494941967263934e-05, 2.499339816335949e+01, 1.989909696258964e-07, 1.581475244585069e-01, 9.797081276876570e+00, 1.000074978649420e+00, 2.702023693629254e-01, -2.153338859049114e-03, 1.619094689583549e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.258029089557692e-06
3396, -2.509979454678300e+01, -1.687531773977500e+02, 9.998155208215281e-01, 1.000598103385976e+00, 6.722022611371832e-05, 2.499340715921226e+01, 2.077468966127352e-07, 1.647139452157391e-01, 9.797086519997814e+00, 1.000075143271818e+00, 2.702011851794504e-01, -2.142852616561441e-03, 1.619094897479346e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.261026025232176e-06
3397, -3.041425995809360e+01, -1.674481514279290e+02, 9.998159096472297e-01, 1.000594055899641e+00, 6.932357709701246e-05, 2.499341670665249e+01, 2.170385250330380e-07, 1.716826819729219e-01, 9.797092033345209e+00, 1.000075317141142e+00, 2.701999636682603e-01, -2.131825921772190e-03, 1.619095117052741e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.263951423873868e-06
