"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
2392, 1.431513126828110e+00, 1.800390174848382e-04, 1.000540597972029e+00, 1.717751005922150e-01, 1.946054004409795e-02, 2.516859782312356e+00, 5.641190789328751e-08, 1.597362744728810e+01
2393, 1.538086134375210e+00, 1.775658655864418e-04, 1.000453469140779e+00, 1.723792235282602e-01, 2.032423274603899e-02, 2.516669212492270e+00, 4.953923195282627e-08, 1.597347224519005e+01
2394, 1.669893859303030e+00, 1.755662010374313e-04, 1.000378342197382e+00, 1.729057535971701e-01, 2.124319236474909e-02, 2.516509747557667e+00, 4.777996725326977e-08, 1.597337885192346e+01
2395, 1.832911463103970e+00, 1.739493742165120e-04, 1.000314022891166e+00, 1.733536480737244e-01, 2.218288027407697e-02, 2.516377750641000e+00, 4.736249455468347e-08, 1.597336808746193e+01
2396, 2.034528926266180e+00, 1.726420904648450e-04, 1.000259378853007e+00, 1.737289359408122e-01, 2.311715792242264e-02, 2.516269582815470e+00, 4.727165965597036e-08, 1.597339473178067e+01
2397, 2.283886053873090e+00, 1.715850874592591e-04, 1.000213112970203e+00, 1.740356907777770e-01, 2.402541393103056e-02, 2.516180447331657e+00, 4.725376668747409e-08, 1.597341332678157e+01
2398, 2.592286804970060e+00, 1.707304487068779e-04, 1.000173952248991e+00, 1.742719545654346e-01, 2.488927596775417e-02, 2.516104568125125e+00, 4.725056240318469e-08, 1.597340203365238e+01
2399, 2.973711728244310e+00, 1.700394313743907e-04, 1.000140988985000e+00, 1.744333757932922e-01, 2.569240726160170e-02, 2.516037029819366e+00, 4.724998199333064e-08, 1.597337154547170e+01
2400, 3.445451733960490e+00, 1.694807099817808e-04, 1.000113613957823e+00, 1.745226020467949e-01, 2.642348566908909e-02, 2.515975378358228e+00, 4.724985428814826e-08, 1.597335020355886e+01
2401, 4.028891932559060e+00, 1.690289563427213e-04, 1.000091296210496e+00, 1.745572893217713e-01, 2.707814030081024e-02, 2.515920375701297e+00, 4.724986022994606e-08, 1.597335726083426e+01
2402, 4.750481073208540e+00, 1.686636913768173e-04, 1.000073453130778e+00, 1.745688486346383e-01, 2.765833726291228e-02, 2.515875315014719e+00, 4.724993572506499e-08, 1.597338842605402e+01
2403, 5.642930529295250e+00, 1.683683567435380e-04, 1.000059338955104e+00, 1.745899890954703e-01, 2.816946254705502e-02, 2.515843416325021e+00, 4.725002063491644e-08, 1.597342266152365e+01
2404, 6.746697183750070e+00, 1.681295642127480e-04, 1.000048103415267e+00, 1.746387133666090e-01, 2.861667112302567e-02, 2.515825095126164e+00, 4.725006676341283e-08, 1.597344126796917e+01
2405, 8.111817436974681e+00, 1.679364887439849e-04, 1.000038997116637e+00, 1.747106696243556e-01, 2.900308189299359e-02, 2.515817097821032e+00, 4.725006405673745e-08, 1.597344036807902e+01
