"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
12051, 7.690401146656460e+00, 2.871249164931670e+01, 9.998882635395145e-01, 1.753410875279430e-01, 3.071580960531330e-02, 2.515572794873794e+00, 2.068455356407454e-09, 1.013817862232416e-02
12052, 8.144273918227929e+00, 2.866166872688110e+01, 9.998888775691708e-01, 1.753380508716499e-01, 3.070854526140995e-02, 2.515574178505619e+00, 2.063943612000201e-09, 1.011788040738286e-02
12053, 8.590628733864399e+00, 2.860592929440240e+01, 9.998894948256102e-01, 1.753349479763324e-01, 3.070147942511407e-02, 2.515575567921923e+00, 2.059538081011220e-09, 1.009805863143107e-02
12054, 9.029625919791339e+00, 2.854553628948740e+01, 9.998901145643040e-01, 1.753317850035061e-01, 3.069460686187827e-02, 2.515576961444803e+00, 2.055235226619770e-09, 1.007869746002824e-02
12055, 9.461423567971760e+00, 2.848073825658050e+01, 9.998907360891112e-01, 1.753285677204733e-01, 3.068792244546615e-02, 2.515578357499337e+00, 2.051031659062478e-09, 1.005978171316655e-02
12056, 9.886177260326450e+00, 2.841177020665670e+01, 9.998913587492120e-01, 1.753253015250943e-01, 3.068142115978888e-02, 2.515579754607266e+00, 2.046924129400844e-09, 1.004129683763160e-02
12057, 1.030403986385490e+01, 2.833885442107350e+01, 9.998919819363393e-01, 1.753219914680653e-01, 3.067509809826543e-02, 2.515581151381255e+00, 2.042909523301377e-09, 1.002322887937966e-02
12058, 1.071516138355540e+01, 2.826220120221070e+01, 9.998926050823222e-01, 1.753186422726945e-01, 3.066894846111091e-02, 2.515582546519690e+00, 2.038984854907193e-09, 1.000556445628709e-02
12059, 1.111968886202870e+01, 2.818200957388630e+01, 9.998932276568727e-01, 1.753152583526846e-01, 3.066296755162125e-02, 2.515583938801975e+00, 2.035147260862653e-09, 9.988290731551178e-03
12060, 1.151776631643300e+01, 2.809846793472330e+01, 9.998938491657428e-01, 1.753118438278357e-01, 3.065715077161958e-02, 2.515585327084706e+00, 2.031393994535456e-09, 9.971395387943222e-03
12061, 1.190953470502470e+01, 2.801175466770330e+01, 9.998944691490803e-01, 1.753084025383577e-01, 3.065149361697931e-02, 2.515586710298316e+00, 2.027722420466642e-09, 9.954866603051721e-03
