"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
61, 4.599118300000000e-01, -3.520124000000000e-02, 8.310414197240515e+00, 5.725799253761908e+01, 2.067121338507950e-01
62, 4.700586200000000e-01, -3.852557000000000e-02, 8.319545706113834e+00, 5.732951404827755e+01, 2.119578612445455e-01
63, 4.801264500000000e-01, -4.209725000000000e-02, 8.328634067720209e+00, 5.740069761284676e+01, 2.174905706144142e-01
64, 4.901097300000000e-01, -4.591066000000000e-02, 8.337067327627119e+00, 5.746675016743388e+01, 2.233122015786576e-01
65, 5.000028200000000e-01, -4.996133000000000e-02, 8.344803976194617e+00, 5.752734659247792e+01, 2.294451333586735e-01
66, 5.098008000000001e-01, -5.424462000000000e-02, 8.352148068724924e+00, 5.758486836675093e+01, 2.359398222382287e-01
67, 5.195007500000000e-01, -5.875347000000000e-02, 8.359282733430046e+00, 5.764074982126530e+01, 2.427893825798636e-01
68, 5.290996300000000e-01, -6.348258000000000e-02, 8.365913985474863e+00, 5.769268835304378e+01, 2.499831728214098e-01
69, 5.385950500000000e-01, -6.842518000000000e-02, 8.371682839033079e+00, 5.773787224619605e+01, 2.574716497688305e-01
70, 5.479856500000000e-01, -7.357226000000000e-02, 8.376752185209725e+00, 5.777757732688252e+01, 2.651658834570799e-01
71, 5.572687400000000e-01, -7.891724000000000e-02, 8.381530465258962e+00, 5.781500266503985e+01, 2.730195025325819e-01
72, 5.664424500000000e-01, -8.445279000000000e-02, 8.386179728949388e+00, 5.785141749715598e+01, 2.810410233721612e-01
73, 5.755048800000000e-01, -9.017298999999999e-02, 8.390165855557257e+00, 5.788263838306057e+01, 2.892427953236833e-01
74, 5.844553000000000e-01, -9.607117000000000e-02, 8.393031659187020e+00, 5.790508446592537e+01, 2.975888326514618e-01
75, 5.932915600000001e-01, -1.021406800000000e-01, 8.395086087204058e+00, 5.792117554105392e+01, 3.060214497015034e-01
76, 6.020071800000000e-01, -1.083708800000000e-01, 8.396402419914789e+00, 5.793148556815971e+01, 3.145070490995204e-01
77, 6.105906500000000e-01, -1.147495400000000e-01, 8.396870300755291e+00, 5.793515019193493e+01, 3.230302467533038e-01
78, 6.190485300000000e-01, -1.212746400000000e-01, 8.396274058994235e+00, 5.793048019576453e+01, 3.315922257983099e-01
79, 6.273970100000000e-01, -1.279533400000000e-01, 8.394684687053722e+00, 5.791803161976678e+01, 3.402220760248208e-01
80, 6.356366100000000e-01, -1.347845000000000e-01, 8.391836656208802e+00, 5.789572474022952e+01, 3.489328621244182e-01
81, 6.437658900000000e-01, -1.417601900000000e-01, 8.387961567023897e+00, 5.786537354238416e+01, 3.576689826551729e-01
82, 6.517822200000000e-01, -1.488768200000000e-01, 8.383131958430058e+00, 5.782754617920548e+01, 3.664175525731824e-01
83, 6.596856600000000e-01, -1.561286700000000e-01, 8.377299813136247e+00, 5.778186656069119e+01, 3.751963327505700e-01
84, 6.674749300000000e-01, -1.635133700000000e-01, 8.370441891072996e+00, 5.772815266162520e+01, 3.840253968557675e-01
85, 6.751519600000000e-01, -1.710256900000000e-01, 8.362697884828219e+00, 5.766749860840587e+01, 3.929315564932355e-01
86, 6.827143700000000e-01, -1.786640900000000e-01, 8.353860516974470e+00, 5.759828092402170e+01, 4.019526155731165e-01
87, 6.901630100000000e-01, -1.864223100000000e-01, 8.343643822587017e+00, 5.751825982053666e+01, 4.110549381334678e-01
88, 6.974960000000000e-01, -1.942970500000000e-01, 8.332374602290978e+00, 5.742999492689233e+01, 4.201613189991644e-01
