"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Surface_Sensitivity"	"Solution_Sensor"
39	3.159377236576610e-01	4.648882429441257e-01	-1.575512865541799e-02	1.000000000000000e+00	0.000000000000000e+00	2.391321735637633e+00	0.000000000000000e+00	
40	3.306310398773544e-01	4.704403844771128e-01	-9.986718621916817e-03	1.000000000000000e+00	0.000000000000000e+00	2.522695677057611e+00	0.000000000000000e+00	
41	3.454915028125263e-01	4.755282581475768e-01	-5.528088206069005e-03	1.000000000000000e+00	0.000000000000000e+00	2.635970790904604e+00	0.000000000000000e+00	
42	3.605044469803854e-01	4.801468428384715e-01	-9.349199132441348e-04	1.000000000000000e+00	0.000000000000000e+00	2.734440997114884e+00	0.000000000000000e+00	
43	3.756550564175726e-01	4.842915805643155e-01	1.838217216475182e-03	1.000000000000000e+00	0.000000000000000e+00	2.822899269400790e+00	0.000000000000000e+00	
44	3.909283793017287e-01	4.879583809693737e-01	3.188569236075755e-03	1.000000000000000e+00	0.000000000000000e+00	2.900770181787790e+00	0.000000000000000e+00	
45	4.063093427071378e-01	4.911436253643444e-01	3.594941536994556e-03	1.000000000000000e+00	0.000000000000000e+00	2.967396752615407e+00	0.000000000000000e+00	
46	4.217827674798846e-01	4.938441702975689e-01	-1.212612340745059e-04	1.000000000000000e+00	0.000000000000000e+00	3.016001680895394e+00	0.000000000000000e+00	
47	4.373333832178479e-01	4.960573506572389e-01	-1.722199807612761e-03	1.000000000000000e+00	0.000000000000000e+00	3.045605922738764e+00	0.000000000000000e+00	
48	4.529458433407428e-01	4.977809823015400e-01	-5.360179061837899e-03	1.000000000000000e+00	0.000000000000000e+00	3.060115830810367e+00	0.000000000000000e+00	
49	4.686047402353434e-01	4.990133642141358e-01	-9.552324938198624e-03	1.000000000000000e+00	0.000000000000000e+00	3.060590637439067e+00	0.000000000000000e+00	
50	4.842946204609359e-01	4.997532801828658e-01	-1.811106646833508e-02	1.000000000000000e+00	0.000000000000000e+00	3.043525945424299e+00	0.000000000000000e+00	
51	5.000000000000001e-01	5.000000000000000e-01	-2.416250481411543e-02	1.000000000000000e+00	0.000000000000000e+00	3.009905863367675e+00	0.000000000000000e+00	
52	5.157053795390641e-01	4.997532801828658e-01	-3.243983609054986e-02	1.000000000000000e+00	0.000000000000000e+00	2.963624209008701e+00	0.000000000000000e+00	
