"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
27353, 2.043396834059988e+01, 2.545944795910944e-01, 9.544304966694400e+00, -2.055419494342576e+02, 3.596472194652363e+02, 2.126915192356143e+06, 3.587704227883239e-03
27354, 2.043441486299896e+01, 2.548976715686188e-01, 9.546182845977905e+00, -2.088092225356864e+02, 3.668735168033610e+02, 2.127374708380048e+06, 4.254274971971441e-03
27355, 2.043493270648120e+01, 2.552492910836951e-01, 9.548034488423665e+00, -2.113281009216236e+02, 3.730940472421482e+02, 2.127805535241297e+06, 5.174462953330631e-03
27356, 2.043553288111218e+01, 2.556568140514414e-01, 9.549830356967064e+00, -2.129753931119564e+02, 3.781369754078468e+02, 2.128198897106635e+06, 6.393827697591646e-03
27357, 2.043622805592321e+01, 2.561288428368271e-01, 9.551542982396517e+00, -2.136345746303382e+02, 3.818486212184499e+02, 2.128547348592259e+06, 7.956443429738039e-03
27358, 2.043703280439116e+01, 2.566752729373459e-01, 9.553146568455320e+00, -2.131888722314112e+02, 3.840831089853710e+02, 2.128844878558045e+06, 9.936520963673024e-03
27359, 2.043796388573536e+01, 2.573074839856132e-01, 9.554616000875811e+00, -2.115160838815055e+02, 3.846957077733998e+02, 2.129086997209704e+06, 1.243838780840285e-02
27360, 2.043904056719888e+01, 2.580385585806819e-01, 9.555926523176144e+00, -2.084861333747100e+02, 3.835416350623179e+02, 2.129271027422112e+06, 1.559475619732980e-02
27361, 2.044028499322030e+01, 2.588835329584651e-01, 9.557053905020396e+00, -2.039578857135920e+02, 3.804747537103323e+02, 2.129396500152824e+06, 1.954213953658119e-02
27362, 2.044172260824618e+01, 2.598596840844338e-01, 9.557974755051038e+00, -1.977747531527182e+02, 3.753451280325934e+02, 2.129465688322723e+06, 2.446243609873800e-02
27363, 2.044338264089685e+01, 2.609868584057303e-01, 9.558667287270474e+00, -1.897616360503319e+02, 3.679996883224245e+02, 2.129484365909995e+06, 3.058885175613393e-02
27364, 2.044529865829797e+01, 2.622878482464044e-01, 9.559112448326850e+00, -1.797227277582956e+02, 3.582853648110666e+02, 2.129462622369196e+06, 3.821725945979550e-02
27365, 2.044750920064580e+01, 2.637888226818255e-01, 9.559293542365760e+00, -1.674398706084220e+02, 3.460526446502539e+02, 2.129415138060559e+06, 4.770527792624620e-02
27366, 2.045005850750618e+01, 2.655198207010337e-01, 9.559207735212045e+00, -1.526444478795430e+02, 3.311282449119906e+02, 2.129363540676035e+06, 5.900036477622694e-02
27367, 2.045299734898290e+01, 2.675153155761392e-01, 9.558892892113905e+00, -1.349509829883944e+02, 3.132465106767154e+02, 2.129341817719125e+06, 7.141901375052283e-02
