"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Eddy_Viscosity"
3196, 5.009950913791720e-02, 7.375794363800194e-03, 2.323574072261258e+00, 1.272659154218297e+00, -3.386838136133686e-01, 1.000000000000000e+00, 5.496455042450227e-03, 9.998236967664059e+01, 5.085649176302129e-01, 4.499611517089483e-01, 4.647148144522516e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.084202172485504e-19, 2.642742795433417e-19, -9.817111858677341e-19, 1.147699918161541e-13, 1.799945012915388e-21, 6.938893903907228e-18, -1.812650507124203e-19, 7.453889935837843e-20, 5.497424256123020e-05
3197, 5.009950913791720e-02, 6.446277950009235e-03, 2.282478850932420e+00, 1.304244861607537e+00, -2.992757644958585e-01, 9.999999999999999e-01, 5.858746498547925e-03, 6.930335207284315e+01, 5.056741139089550e-01, 4.645225243923271e-01, 4.564957701864841e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.084202172485504e-19, 9.808641529204798e-19, 7.962109704190423e-20, -4.360740283608872e-14, -2.117582368135751e-21, 3.382710778154774e-17, 2.757092243312748e-19, -5.082197683525802e-20, 8.453770738809188e-05
3198, 5.009950913791721e-02, 5.413481932618078e-03, 2.244350340035903e+00, 1.333634366403106e+00, -2.538466138667848e-01, 9.999999999999994e-01, 5.890569501730565e-03, 5.362825896841711e+01, 5.034781985644938e-01, 4.759179069108534e-01, 4.488700680071806e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.710505431213761e-19, -4.150461441546072e-19, -1.101142831430590e-19, 7.105427357633779e-14, -2.329340604949326e-21, -2.602085213965211e-18, -4.239399901007773e-19, 2.879912020664621e-20, 1.098407745289597e-04
3199, 5.009950913791721e-02, 4.265930802354184e-03, 2.210827288067974e+00, 1.360711375695570e+00, -2.021145107536969e-01, 1.000000000000000e+00, 5.857128534821966e-03, 4.626491552162278e+01, 5.018434690214377e-01, 4.843414695292823e-01, 4.421654576135948e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.776263578034403e-19, -1.939705449212348e-19, -4.099639464710814e-19, 6.236960754239673e-14, -4.341043854678289e-21, -2.862293735361732e-17, -1.675007653195379e-19, 2.862971361719535e-19, 1.265997888202028e-04
3200, 5.009950913791721e-02, 2.990873998111702e-03, 2.183825521848477e+00, 1.383461564816761e+00, -1.430186209301756e-01, 1.000000000000000e+00, 5.836075240735292e-03, 4.304592215877722e+01, 5.006757551710536e-01, 4.900935021229458e-01, 4.367651043696955e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.168404344971009e-19, -1.609362599783171e-19, 9.486769009248164e-19, -1.904252238390053e-13, -2.011703249728963e-21, 1.821459649775647e-17, 1.488660404799433e-19, -9.232659125071874e-20, 1.355778886373630e-04
3201, 5.009950913791721e-02, 1.574144211932850e-03, 2.164762119603399e+00, 1.399392141136447e+00, -7.576817663831470e-02, 9.999999999999997e-01, 5.828795375889300e-03, 4.168596328203939e+01, 4.999465826897380e-01, 4.934908839071397e-01, 4.329524239206798e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.897353801849633e-19, -6.200281173901478e-19, -6.860966872759833e-19, -1.634248292247854e-13, -1.164670302474663e-21, 3.469446951953614e-18, -1.524659305057741e-20, 1.948175778684891e-19, 1.398263328222204e-04
3202, 4.923683328541812e-02, 1.491761752498622e-02, 2.662811851061872e+00, 2.408770813472530e-01, -4.435156283523822e-01, 1.000000000000000e+00, 3.475243723310718e-03, 8.119124647749594e+02, 5.750823219247433e-01, 1.439552087094451e-01, 5.325623702123744e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, -3.345780141654486e-20, 1.224809641729718e-18, -2.842170943040420e-14, -0.000000000000000e+00, 1.086370576830475e-16, -5.776764700274328e-19, -2.574980159653073e-19, 4.280318228978000e-06
3203, 4.923683328541811e-02, 1.482608144931275e-02, 2.663461497458955e+00, 2.374578707080033e-01, -4.289387078256670e-01, 1.000000000000000e+00, 3.513555949048153e-03, 8.149069723226060e+02, 5.740990500526647e-01, 1.484843209868521e-01, 5.326922994917910e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.421010862427522e-20, 5.632769099241097e-20, -4.590918574118308e-19, 5.169028820721798e-14, -6.948317145445432e-22, -5.670377362099188e-17, -7.098136097991037e-19, 2.507217523872729e-19, 4.311603739300446e-06
3204, 4.923683328541813e-02, 1.472437470244498e-02, 2.664168218181258e+00, 2.336393235388061e-01, -4.126376134742741e-01, 9.999999999999999e-01, 3.557290175455796e-03, 8.176616776411864e+02, 5.729765131212576e-01, 1.535962497598891e-01, 5.328336436362516e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, 5.505714157152952e-20, -5.251604272976662e-20, -4.263256414559995e-14, -1.985233470127266e-23, 1.027823659516258e-16, 1.384051835813527e-18, -1.626303258728257e-19, 4.350564876316531e-06
3205, 4.923683328541811e-02, 1.461136720253943e-02, 2.664812965323736e+00, 2.294618375673571e-01, -3.944699594549567e-01, 9.999999999999998e-01, 3.606101154044249e-03, 8.199453793175876e+02, 5.716912286065527e-01, 1.593718865329043e-01, 5.329625930647471e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.626303258728257e-19, -1.694065894508601e-21, 1.660184576618429e-19, 6.418017541083318e-14, -8.933550615572699e-22, -7.025630077706069e-17, -5.505714157152952e-19, 8.809142651444724e-20, 4.397977286054692e-06
3206, 4.923683328541811e-02, 1.448580330984167e-02, 2.665363473416023e+00, 2.250330177897257e-01, -3.742977091193473e-01, 9.999999999999999e-01, 3.658293804645237e-03, 8.214487210079242e+02, 5.702157649004701e-01, 1.659036951147158e-01, 5.330726946832045e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, -1.067261513540418e-19, -5.751353711856699e-19, -1.320616137838600e-14, -8.404155023538761e-22, -3.632077277826440e-17, -5.353248226647178e-19, -6.098637220230962e-20, 4.453465823352285e-06
3207, 4.923683328541811e-02, 1.434628787715504e-02, 2.665722264478549e+00, 2.206004975651929e-01, -3.520465922175530e-01, 9.999999999999998e-01, 3.709234647290090e-03, 8.217513870614516e+02, 5.685178082860614e-01, 1.732967510462265e-01, 5.331444528957097e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.084202172485504e-19, -9.740878893424454e-20, 1.287490079826537e-19, -5.090064608528992e-14, 6.749793798432706e-22, 1.044086692103541e-16, 8.351744859927401e-19, -1.084202172485504e-19, 4.513816107514168e-06
3208, 4.923683328541810e-02, 1.419127073682711e-02, 2.665753556790333e+00, 2.166647680885879e-01, -3.277628671178341e-01, 1.000000000000000e+00, 3.749020143108456e-03, 8.203755723910190e+02, 5.665601416943155e-01, 1.816696314918809e-01, 5.331507113580666e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.421010862427522e-20, 5.336307567702092e-20, 5.827586677109586e-19, 2.307321368743838e-14, -7.742410533496339e-22, -1.909280025746973e-16, -5.742883382384156e-19, 1.558540622947913e-19, 4.569882708942417e-06
3209, 4.923683328541811e-02, 1.401902946592177e-02, 2.665261742212047e+00, 2.141588493064231e-01, -3.017152162840026e-01, 1.000000000000000e+00, 3.759498708074312e-03, 8.170174494422706e+02, 5.643015248764701e-01, 1.911546805808423e-01, 5.330523484424095e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.421010862427522e-20, -5.463362509790237e-20, -5.175371307723775e-19, 4.263256414562657e-14, -5.558653716356346e-22, -6.255846535241361e-17, 1.050320854595332e-19, -2.032879073410321e-20, 4.601491327560629e-06
3210, 4.923683328541811e-02, 1.382765027114086e-02, 2.663988595712969e+00, 2.147122999588036e-01, -2.745450312646954e-01, 1.000000000000000e+00, 3.712666861592187e-03, 8.121583324722978e+02, 5.616996520282188e-01, 2.018971487866353e-01, 5.327977191425939e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, -5.886878983417387e-20, 3.786237274226723e-19, -4.263256414556734e-14, -5.293955920339377e-23, -5.301748623454117e-17, -4.573977915173222e-20, -0.000000000000000e+00, 4.571358457027003e-06
3211, 4.923683328541811e-02, 1.361500671993032e-02, 2.661625605488850e+00, 2.209911463623703e-01, -2.474679382528484e-01, 9.999999999999999e-01, 3.575882950739420e-03, 8.082221358736190e+02, 5.587175197437554e-01, 2.140521654537629e-01, 5.323251210977700e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, -1.418780186650953e-19, 2.337810934421869e-19, 7.798106365494258e-15, -2.117582368135751e-22, 1.875669758399923e-17, -2.829090043829363e-19, 3.388131789017201e-20, 4.424381357575905e-06
3212, 4.923683328541811e-02, 1.337873611002858e-02, 2.657852419923029e+00, 2.370234942997800e-01, -2.224904712321982e-01, 1.000000000000000e+00, 3.332418708904013e-03, 8.109056834208179e+02, 5.553344290003345e-01, 2.277774526406448e-01, 5.315704839846059e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.421010862427522e-20, 3.218725199566341e-20, -3.582949366885690e-19, -2.482542997514462e-14, 3.705769144237564e-22, 3.903127820947816e-17, 6.030874584450618e-19, -2.032879073410321e-20, 4.109502223299453e-06
3213, 4.923683328541811e-02, 1.311621321812215e-02, 2.652402277076618e+00, 2.682740500390475e-01, -2.025341409770482e-01, 9.999999999999999e-01, 3.018398367198341e-03, 8.281655370727885e+02, 5.515612588193631e-01, 2.432178237938512e-01, 5.304804554153237e+00, 1.000000000000000e+00, 1.458439571647119e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -0.000000000000000e+00, 4.404571325722362e-20, 4.129285617864714e-19, 1.342189377406786e-14, -3.705769144237564e-22, -3.079134169858833e-17, -4.963613070910200e-19, 1.761828530288945e-19, 3.644679997029446e-06
