"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Pressure_Coefficient"	"Mach"	"Temperature"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"	"Sharp_Edge_Dist"
48	5.118399858470000e-01	-5.209000036100000e-02	4.765719387794345e-04	0.000000000000000e+00	0.000000000000000e+00	9.752240383844278e+01	3.900896153537710e+01	-2.541500622390032e-01	0.000000000000000e+00	2.843410182532676e+02	1.777673926948908e-05	1.140482185046106e-02	3.064967098032491e-04	1.752718972250898e-02	4.909313267204143e-01	
49	4.960500001910000e-01	-5.310999974600000e-02	4.759424339381579e-04	0.000000000000000e+00	0.000000000000000e+00	9.737510796955296e+01	3.895004318782117e+01	-2.623969408378623e-01	0.000000000000000e+00	2.842870706914597e+02	1.777411010836318e-05	1.175401995524145e-02	-1.991592105448291e-04	1.778485946513180e-02	5.067408355170434e-01	
50	4.802699983120000e-01	-5.406999960500000e-02	4.753618885233345e-04	0.000000000000000e+00	0.000000000000000e+00	9.722934051077854e+01	3.889173620431141e+01	-2.705582460070924e-01	0.000000000000000e+00	2.842081735890762e+02	1.777026458882913e-05	1.206406910290085e-02	8.090101545624161e-05	1.800956589989441e-02	5.225350127138785e-01	
51	4.645099937920000e-01	-5.497999861800000e-02	4.747315961579864e-04	0.000000000000000e+00	0.000000000000000e+00	9.708137692285528e+01	3.883255076914210e+01	-2.788425092104783e-01	0.000000000000000e+00	2.841524293622012e+02	1.776754725424304e-05	1.251044083248718e-02	-4.184696011199000e-04	1.833069737071721e-02	5.383050687079578e-01	
52	4.487800002100000e-01	-5.581999942700000e-02	4.741741000569446e-04	0.000000000000000e+00	0.000000000000000e+00	9.693646508713540e+01	3.877458603485415e+01	-2.869559093059927e-01	0.000000000000000e+00	2.840618646150235e+02	1.776313199784426e-05	1.294163710170507e-02	3.309880087037085e-04	1.863761484891026e-02	5.540391326472507e-01	
53	4.331099987030000e-01	-5.658999830500000e-02	4.735450606532393e-04	0.000000000000000e+00	0.000000000000000e+00	9.679416093233947e+01	3.871766437293578e+01	-2.949233091900526e-01	0.000000000000000e+00	2.840216407588787e+02	1.776117076882768e-05	1.341326293775687e-02	-1.333400688465195e-04	1.896402367974268e-02	5.697075578563729e-01	
54	4.174999892710000e-01	-5.728999897800000e-02	4.729595044027215e-04	0.000000000000000e+00	0.000000000000000e+00	9.665404156409524e+01	3.866161662563808e+01	-3.027683860952536e-01	0.000000000000000e+00	2.839616198248518e+02	1.775824402949656e-05	1.391139079197613e-02	-1.900054748974075e-04	1.930486957964549e-02	5.853105214176354e-01	
55	4.019699990750000e-01	-5.792000144700000e-02	4.723644140106587e-04	0.000000000000000e+00	0.000000000000000e+00	9.651829226675856e+01	3.860731690670342e+01	-3.103687891714134e-01	0.000000000000000e+00	2.839200353995731e+02	1.775621611711365e-05	1.445978884961054e-02	3.817244275043987e-04	1.967068616643150e-02	6.008282687873266e-01	
56	3.865399956700000e-01	-5.847999826100000e-02	4.717454295885451e-04	0.000000000000000e+00	0.000000000000000e+00	9.638389584812643e+01	3.855355833925056e+01	-3.178934465629228e-01	0.000000000000000e+00	2.838967094532468e+02	1.775507853824541e-05	1.514354542327113e-02	-8.182848814931266e-04	2.011805598039659e-02	6.162410949532416e-01	
57	3.712300062180000e-01	-5.894999951100000e-02	4.712059092713876e-04	0.000000000000000e+00	0.000000000000000e+00	9.625842959814977e+01	3.850337183925990e+01	-3.249181169736428e-01	0.000000000000000e+00	2.838517835910363e+02	1.775288743092024e-05	1.574536737435935e-02	-4.502259373331269e-04	2.050591978508163e-02	6.315273608664657e-01	
58	3.560400009160000e-01	-5.934000015300000e-02	4.706710608840990e-04	0.000000000000000e+00	0.000000000000000e+00	9.613773652425323e+01	3.845509460970128e+01	-3.316755442908498e-01	0.000000000000000e+00	2.838180290178359e+02	1.775124105632117e-05	1.648295564213084e-02	-1.824244046920804e-04	2.096946691646260e-02	6.466882680537998e-01	
59	3.409900069240000e-01	-5.964000150600000e-02	4.701314961439902e-04	0.000000000000000e+00	0.000000000000000e+00	9.602404810614662e+01	3.840961924245864e+01	-3.380407912545839e-01	0.000000000000000e+00	2.838077474552671e+02	1.775073955592314e-05	1.722618563588580e-02	-5.012876082129771e-04	2.142601388272649e-02	6.617031817617816e-01	
60	3.261100053790000e-01	-5.984999984500000e-02	4.696409844084256e-04	0.000000000000000e+00	0.000000000000000e+00	9.591709275622534e+01	3.836683710249013e+01	-3.440290636545313e-01	0.000000000000000e+00	2.837877212004323e+02	1.774976271691262e-05	1.797917329565393e-02	-1.699120935220224e-04	2.187905846520717e-02	6.765424948454737e-01	
61	3.113999962810000e-01	-5.998000130100000e-02	4.691575439712837e-04	0.000000000000000e+00	0.000000000000000e+00	9.581701325584910e+01	3.832680530233963e+01	-3.496323673728098e-01	0.000000000000000e+00	2.837837404114927e+02	1.774956853838693e-05	1.897309269828406e-02	-1.864107720130708e-04	2.246491062548923e-02	6.912073246703009e-01	
62	2.968699932100000e-01	-6.001000106300000e-02	4.686969634983369e-04	0.000000000000000e+00	0.000000000000000e+00	9.572707887527631e+01	3.829083155011051e+01	-3.546676607862468e-01	0.000000000000000e+00	2.837959870868061e+02	1.775016591363588e-05	1.993944699409500e-02	-5.581584167592028e-04	2.301751081336400e-02	7.056861956111133e-01	
63	2.825500071050000e-01	-5.993999913300000e-02	4.682868645009914e-04	0.000000000000000e+00	0.000000000000000e+00	9.564681586690270e+01	3.825872634676107e+01	-3.591614683249463e-01	0.000000000000000e+00	2.838063604448308e+02	1.775067190150541e-05	2.091155097784063e-02	-8.007562067530808e-04	2.355997964415152e-02	7.199495092026242e-01	
