"PointID", "Conservative_1", "Conservative_2", "Conservative_3", "Conservative_4", "Residual_1", "Residual_2", "Residual_3", "Residual_4", "Volume"
0  0 36	7.049892579487357e-05	1.218096992577117e+00	2.876583924823670e-01	1.318428445373631e+04	1.577326869602893e-08	3.828665851453028e-04	8.571661444856105e-05	4.007140502530092e+00	1.361745570949565e-04	
0  0 37	7.299454250932777e-05	1.265068006178245e+00	3.025619568209889e-01	1.368541170637278e+04	1.774526857569033e-08	4.172845064522868e-04	9.827143825535956e-05	4.387638582804357e+00	1.362286962314401e-04	
0  0 38	7.564688460447168e-05	1.314642623897624e+00	3.187152386870679e-01	1.421634107767749e+04	1.982012699162884e-08	4.532986536576189e-04	1.121510240567059e-04	4.790101476268319e+00	1.362828353679319e-04	
0  0 39	7.846130970787566e-05	1.366865711494769e+00	3.362155752017775e-01	1.477789139730428e+04	2.200708771905044e-08	4.911310979061057e-04	1.274230696598488e-04	5.216888556682534e+00	1.363369745044200e-04	
0  0 40	8.144276708765807e-05	1.421780807795316e+00	3.551549573877193e-01	1.537084486347902e+04	2.431777333113897e-08	5.310628552801511e-04	1.441487496768312e-04	5.670869102428696e+00	1.363911136408993e-04	
0  0 41	8.459602633335516e-05	1.479435944974512e+00	3.756195114409884e-01	1.599600130655680e+04	2.676762830475504e-08	5.734543909770018e-04	1.623969879986920e-04	6.155681754491525e+00	1.364452527773874e-04	
0  0 42	8.792612424664081e-05	1.539892756911883e+00	3.976909976090464e-01	1.665427132222374e+04	2.937744346357828e-08	6.187674003377275e-04	1.822612045928595e-04	6.676013939937548e+00	1.364993919138784e-04	
0  0 43	9.143898085990805e-05	1.603237990532232e+00	4.214501684106444e-01	1.734679898205713e+04	3.217444379763909e-08	6.675791231272044e-04	2.038744130228309e-04	7.237801885738008e+00	1.365535310503636e-04	
0  0 44	9.514207426539421e-05	1.669595475122388e+00	4.469813445854590e-01	1.807509304767699e+04	3.519235083093730e-08	7.205791701005992e-04	2.274177033778635e-04	7.848236863708735e+00	1.366076701868524e-04	
0  0 45	9.904500562587064e-05	1.739135627268847e+00	4.743770367821644e-01	1.884113441699127e+04	3.846955132263052e-08	7.785345501303276e-04	2.531141376742596e-04	8.515409674917464e+00	1.366618093233371e-04	
0  0 46	1.031596932501752e-04	1.812078122374623e+00	5.037405112063287e-01	1.964741018623185e+04	4.204325876005599e-08	8.421890585164071e-04	2.811880289681490e-04	9.247188425877539e+00	1.367159484598229e-04	
0  0 47	1.074996658294881e-04	1.888679199598630e+00	5.351815704852747e-01	2.049677460973494e+04	4.593317632012924e-08	9.119935097170462e-04	3.117280280566792e-04	1.004808730502555e+01	1.367700875963083e-04	
0  0 48	1.120770460164762e-04	1.969181276228932e+00	5.687924621571965e-01	2.139187256282635e+04	5.009449030894328e-08	9.873443959254047e-04	3.442620125695406e-04	1.091025675221317e+01	1.368242267327934e-04	
0  0 49	1.168930923217286e-04	2.053659499786024e+00	6.045650267748072e-01	2.233334848565257e+04	5.428023792220611e-08	1.064370859459540e-03	3.764684702340926e-04	1.178706185001647e+01	1.368783658692785e-04	
0  0 50	1.219102873044516e-04	2.141574888361699e+00	6.421351456735929e-01	2.331457543230506e+04	5.764497712189829e-08	1.129573851636589e-03	4.003992833845338e-04	1.251683158711239e+01	1.369325050057717e-04	
0  0 51	1.269729191355531e-04	2.230508975436767e+00	6.800394396427236e-01	2.430665356001108e+04	5.765880372834336e-08	1.142379323677556e-03	3.920401443977539e-04	1.261343099181249e+01	1.369866441422519e-04	
0  0 52	1.315946273759611e-04	2.312777965091341e+00	7.137106136900145e-01	2.521822158539813e+04	4.742586025902518e-08	9.918602592438042e-04	2.856063483460680e-04	1.074794547280544e+01	1.370407832787442e-04	
0  0 53	1.344609134212965e-04	2.367458248968962e+00	7.308281337414675e-01	2.580121616308758e+04	1.058298667927157e-08	4.130933414385751e-04	-7.347122176892817e-05	3.760678448517865e+00	1.370949224152350e-04	
0  0 54	1.326117392780300e-04	2.346993302420202e+00	7.041791191188893e-01	2.549610429249975e+04	-8.123533413962811e-08	-1.062779840106387e-03	-9.367233439774303e-04	-1.383017672994174e+01	1.371490615517194e-04	
0  0 55	1.214594935832615e-04	2.175938834799648e+00	5.948169519259890e-01	2.343704750691967e+04	-2.406831341112206e-07	-3.691263164551373e-03	-2.326360606923927e-03	-4.445727780804737e+01	1.372032006882054e-04	
0  0 56	9.905335708937141e-05	1.816602419309828e+00	3.975916527533635e-01	1.926256962113809e+04	-3.845154199373906e-07	-6.213323174009133e-03	-3.280460213025194e-03	-7.205698162360932e+01	1.372573398246847e-04	
0  0 57	7.263475549162077e-05	1.379002975081767e+00	1.921116325902224e-01	1.434272208097064e+04	-3.650605192564906e-07	-6.133962580040730e-03	-2.651576513932774e-03	-6.845160584908444e+01	1.373114789611747e-04	
0  0 58	5.338149765990425e-05	1.050183690270846e+00	6.426856048664956e-02	1.076549798069551e+04	-2.094415761342574e-07	-3.624499939141046e-03	-1.277975869977688e-03	-3.919862896614359e+01	1.373656180976604e-04	
0  0 59	4.429875559212050e-05	8.907509793152745e-01	1.421221456654496e-02	9.075006018908241e+03	-7.714805034652467e-08	-1.370298097940648e-03	-3.834244114107044e-04	-1.456534837461368e+01	1.374197572341538e-04	
0  0 60	4.147483918646302e-05	8.397769082924598e-01	2.060973907584067e-03	8.542544866860406e+03	-1.765414441057842e-08	-3.216527988261220e-04	-6.809671394164551e-05	-3.387337193704298e+00	1.374738963706420e-04	
0  0 61	4.096232484148848e-05	8.303888778572692e-01	2.295258169431510e-04	8.444979167729080e+03	-2.194962725381118e-09	-3.995502602627266e-05	-8.093345054166479e-06	-4.201346703716808e-01	1.375280355071271e-04	
0  0 62	4.090469430205021e-05	8.293396774108643e-01	2.308321719611127e-05	8.434063182152464e+03	-2.349124744346154e-10	-4.285499600631404e-06	-8.166240460395074e-07	-4.491780665478018e-02	1.375821746436105e-04	
