"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y","Pressure","Temperature","Mach","Pressure_Coefficient"
6568, -4.072970408068861e+00, -9.730401440184078e-01, 1.290838929727128e+00, 3.404951506135328e+02, 3.015517642802767e+01, 2.991856848245125e+05, -1.584951605675240e-01, 5.018493571083598e+00, 1.015703448390643e+05, 2.733370258085695e+02, 7.978549445237042e-01, 5.404833259848819e-03
6569, -4.119266982175791e+00, -7.566304770690265e-01, 1.290668703118219e+00, 3.405117341549015e+02, 3.016625376479363e+01, 2.991494923944052e+05, 1.402718555164414e-01, 5.013586576156515e+00, 1.015516265680944e+05, 2.733226967152846e+02, 7.980219344217685e-01, 4.992478413133564e-03
6570, -4.154064259951672e+00, -5.381087251273989e-01, 1.290494491644192e+00, 3.405282275192590e+02, 3.017835025085650e+01, 2.991123325863476e+05, 4.387267491829406e-01, 4.994113461489100e+00, 1.015324641603217e+05, 2.733080122392337e+02, 7.981919567534427e-01, 4.570339438196505e-03
6571, -4.177270237715966e+00, -3.180861639017027e-01, 1.290314768446217e+00, 3.405448855549020e+02, 3.019157605111100e+01, 2.990738965170768e+05, 7.362738996141533e-01, 4.960049553599042e+00, 1.015126846160293e+05, 2.732928297437294e+02, 7.983667833351319e-01, 4.134605231338274e-03
6572, -4.977879682907115e+00, -1.026372753108199e-01, 1.290234658056387e+00, 3.405865197336634e+02, 3.001329089217899e+01, 2.990635956480032e+05, 1.096470377367910e+00, 5.179125840720710e+00, 1.015047073790424e+05, 2.732883207554442e+02, 7.984831351765619e-01, 3.958870392355913e-03
6573, -4.976948988504025e+00, 1.601916712585719e-01, 1.290098715777574e+00, 3.405977332531265e+02, 3.002529619772406e+01, 2.990340753861000e+05, 1.404359599928053e+00, 5.111965370245844e+00, 1.014896939193023e+05, 2.732766920538397e+02, 7.986128166252002e-01, 3.628130822456367e-03
6574, -4.962152284020216e+00, 4.225734736098246e-01, 1.289956556176372e+00, 3.406093948424503e+02, 3.003846910045251e+01, 2.990031866655451e+05, 1.709262472749413e+00, 5.029491825795989e+00, 1.014739867477165e+05, 2.732645098497847e+02, 7.987484694845608e-01, 3.282109101645742e-03
6575, -4.933534715820147e+00, 6.837775088482606e-01, 1.289805019334999e+00, 3.406217978043178e+02, 3.005289762239912e+01, 2.989702542720318e+05, 2.010506002750766e+00, 4.931766089251842e+00, 1.014572394401524e+05, 2.732515102158562e+02, 7.988931420115104e-01, 2.913173666605139e-03
6576, -4.891183312872085e+00, 9.430768175014379e-01, 1.289640625573981e+00, 3.406352724739533e+02, 3.006863662747961e+01, 2.989345355622118e+05, 2.307405697841882e+00, 4.818872004907143e+00, 1.014390704143763e+05, 2.732374019900371e+02, 7.990502032786135e-01, 2.512918437319028e-03
6577, -4.835220992170286e+00, 1.199750079531733e+00, 1.289459591454974e+00, 3.406501856569515e+02, 3.008569643406394e+01, 2.988952248521514e+05, 2.599267667629704e+00, 4.690918324490484e+00, 1.014190650512044e+05, 2.732218690153173e+02, 7.992233273523056e-01, 2.072209545054356e-03
6578, -4.765809582802339e+00, 1.453086084355227e+00, 1.289257877028995e+00, 3.406669399755299e+02, 3.010402906100226e+01, 2.988514648650044e+05, 2.885391963748387e+00, 4.548040372658459e+00, 1.013967811041770e+05, 2.732045745966474e+02, 7.994164544271747e-01, 1.581304504973389e-03
6579, -4.683147589914642e+00, 1.702379282114708e+00, 1.289031277468601e+00, 3.406859710794638e+02, 3.012350990535789e+01, 2.988023679197104e+05, 3.165062779191825e+00, 4.390405998053058e+00, 1.013717588923150e+05, 2.731851694203735e+02, 7.996337137141686e-01, 1.030076757846032e-03
6580, -4.587470611589299e+00, 1.946939789921244e+00, 1.288775570174955e+00, 3.407077407390205e+02, 3.014391753238385e+01, 2.987470492500775e+05, 3.437572329612393e+00, 4.218216252235405e+00, 1.013435375747180e+05, 2.731633040946351e+02, 7.998792953395502e-01, 4.083741919133296e-04
6581, -4.479048857923455e+00, 2.186088507341029e+00, 1.288486737933724e+00, 3.407327234631998e+02, 3.016491118511705e+01, 2.986846767417059e+05, 3.702197418563828e+00, 4.031703605187201e+00, 1.013116797698132e+05, 2.731386480684093e+02, 8.001572501200254e-01, -2.934385064590707e-04
6582, -4.358189072391749e+00, 2.419166129618672e+00, 1.288161290381682e+00, 3.407613853021444e+02, 3.018600912874010e+01, 2.986145420741526e+05, 3.958197173542946e+00, 3.831131889177527e+00, 1.012758069506216e+05, 2.731109168009631e+02, 8.004711977436096e-01, -1.083700111435218e-03
6583, -4.225229848618262e+00, 2.645524826126426e+00, 1.287796670392186e+00, 3.407941521917074e+02, 3.020657237221354e+01, 2.985361497717104e+05, 4.204833806035284e+00, 3.616810788413215e+00, 1.012356442813856e+05, 2.730799064790615e+02, 8.008239468125780e-01, -1.968465127559568e-03
6584, -4.080546618845964e+00, 2.864541337939895e+00, 1.287391779078495e+00, 3.408313727987282e+02, 3.022579763609699e+01, 2.984493315597078e+05, 4.441373189924427e+00, 3.389088908722199e+00, 1.011910777902460e+05, 2.730455370189225e+02, 8.012170161779125e-01, -2.950244302149373e-03
6585, -3.924544491015148e+00, 3.075609911842675e+00, 1.286947585272111e+00, 3.408732726592254e+02, 3.024271834100153e+01, 2.983543781302372e+05, 4.667078991362228e+00, 3.148358972390344e+00, 1.011422206159964e+05, 2.730079018892369e+02, 8.016500720516553e-01, -4.026545239937291e-03
6586, -3.757658356880746e+00, 3.278147271666543e+00, 1.286467793838590e+00, 3.409198961073287e+02, 3.025623213524764e+01, 2.982521828021509e+05, 4.881220124968253e+00, 2.895056839621284e+00, 1.010894859868966e+05, 2.729673239686872e+02, 8.021202924732270e-01, -5.188264713601805e-03
