"PointID","x","y","Displacement_x","Displacement_y","Velocity_x","Velocity_y","Acceleration_x","Acceleration_y","Sxx","Syy","Sxy","Von_Mises_Stress"
154, -5.374259000000000e-02, 3.643765000000000e-03, -1.990112524783167e-04, 3.829627320499621e-03, 5.047044690516988e-02, -5.059216061479271e-01, 1.270101683841790e+01, 1.464875580576442e+01, -2.215164376623906e+05, 3.246958771898963e+04, 2.537507575420149e+04, 2.590067160657364e+05
155, -4.044550000000000e-02, 3.578988000000000e-03, -2.101339405221619e-04, 4.328290856823029e-03, 5.865668148383552e-02, -5.899452984670797e-01, 1.586277866721504e+01, 1.511478950288878e+01, -2.092811959235913e+05, 1.674487547942672e+04, 1.214033397767307e+04, 2.273264960145208e+05
156, -2.702974000000000e-02, 3.500831000000000e-03, -2.210000987544196e-04, 4.843868881844947e-03, 6.769995304394595e-02, -6.804531977890214e-01, 1.943056938268774e+01, 1.615170459213306e+01, -2.030657764414262e+05, 2.167225471393875e+03, 9.642777588578760e+03, 2.061371332696726e+05
157, -1.353473000000000e-02, 3.410385000000000e-03, -2.317463206992572e-04, 5.375534105221773e-03, 7.766928892964731e-02, -7.778847690089943e-01, 2.345010783193202e+01, 1.754341545018684e+01, -1.976111153751259e+05, 1.748708403367432e+03, 1.238066882796134e+04, 2.008916702591288e+05
158, -9.637083000000000e-13, 3.308766000000000e-03, -2.424447599215213e-04, 5.921939063486903e-03, 8.860903721879712e-02, -8.828738533794163e-01, 2.794503438059797e+01, 1.884629352531525e+01, -1.922788706055625e+05, 4.511360428763939e+03, 1.451247456940578e+04, 1.989191863623370e+05
159, 1.353473000000000e-02, 3.197115000000000e-03, -2.530636349866911e-04, 6.481407499967309e-03, 1.005087573142967e-01, -9.961156744199859e-01, 3.290048796879960e+01, 1.941408144290955e+01, -1.860455774990938e+05, 5.482519706512680e+03, 1.562837522036845e+04, 1.940618367101444e+05
160, 2.702974000000000e-02, 3.076578000000000e-03, -2.635628391842294e-04, 7.052122405267968e-03, 1.133252082652669e-01, -1.118020254663252e+00, 3.828820628162559e+01, 1.872643819816045e+01, -1.789951276579691e+05, 5.295877438097034e+03, 1.636928771160627e+04, 1.871763576952486e+05
161, 4.044550000000000e-02, 2.948292000000000e-03, -2.739179529664786e-04, 7.632146993567106e-03, 1.269831434833837e-01, -1.248360910077418e+00, 4.405377719485607e+01, 1.672756698204211e+01, -1.713156500028821e+05, 5.091068686642246e+03, 1.698422267954377e+04, 1.796473926304479e+05
162, 5.374259000000000e-02, 2.813383000000000e-03, -2.841071159604842e-04, 8.219387675245198e-03, 1.413615710034748e-01, -1.386364019187960e+00, 5.010449204602776e+01, 1.373330195847853e+01, -1.630395320251361e+05, 4.983637272715968e+03, 1.741174426081428e+04, 1.715938832642663e+05
163, 6.688208000000000e-02, 2.672945000000000e-03, -2.941030132303205e-04, 8.811601965565630e-03, 1.563373941851902e-01, -1.531165135641918e+00, 5.635176971627401e+01, 1.006165578323413e+01, -1.541473076333517e+05, 4.788513774052422e+03, 1.760908646451335e+04, 1.627910164318200e+05
164, 7.982535000000000e-02, 2.528055000000000e-03, -3.038743225965197e-04, 9.406397460449896e-03, 1.718207707886075e-01, -1.681950113436623e+00, 6.274021247199260e+01, 5.914802771684322e+00, -1.446283519465486e+05, 4.501009329945309e+03, 1.758770200466344e+04, 1.532216546117240e+05
165, 9.253454000000000e-02, 2.379750000000000e-03, -3.133868160233291e-04, 1.000125761377769e-02, 1.877299127379633e-01, -1.837887787268298e+00, 6.922752905815439e+01, 1.433343440191663e+00, -1.344962508819473e+05, 4.173891296553301e+03, 1.734419799991958e+04, 1.429429716664909e+05
166, 1.049722000000000e-01, 2.229046000000000e-03, -3.226038208373831e-04, 1.059353100453832e-02, 2.039691006223540e-01, -1.998064644987077e+00, 7.576728877103548e+01, -3.257643233874887e+00, -1.237840312461453e+05, 3.809839366726018e+03, 1.686813955154349e+04, 1.319785298663974e+05
167, 1.171021000000000e-01, 2.076921000000000e-03, -3.314866044019765e-04, 1.118047967298245e-02, 2.204297389784753e-01, -2.161492564750934e+00, 8.230958868953178e+01, -8.048316309781228e+00, -1.125431873805854e+05, 3.394803069945661e+03, 1.614896368668178e+04, 1.203527055878782e+05
168, 1.288884000000000e-01, 1.924338000000000e-03, -3.399950963000321e-04, 1.175925418121905e-02, 2.369953389092807e-01, -2.327116168910560e+00, 8.880513275337282e+01, -1.285653538923759e+01, -1.008385836527751e+05, 2.937510695835669e+03, 1.518690268093696e+04, 1.081297637582399e+05
169, 1.402968000000000e-01, 1.772228000000000e-03, -3.480893051826701e-04, 1.232696727322867e-02, 2.535460309945635e-01, -2.493839955806036e+00, 9.520764163406756e+01, -1.763306215769973e+01, -8.875349195748329e+04, 2.414345135202298e+03, 1.398375161410762e+04, 9.536118579893334e+04
170, 1.512935000000000e-01, 1.621512000000000e-03, -3.557295515916048e-04, 1.288066550492614e-02, 2.699582966593056e-01, -2.660519826095611e+00, 1.014733164369943e+02, -2.235900630447600e+01, -7.637997910271375e+04, 1.797912468788631e+03, 1.256924673441231e+04, 8.212019595962811e+04
171, 1.618466000000000e-01, 1.473089000000000e-03, -3.628787037905018e-04, 1.341742331833874e-02, 2.861085961185825e-01, -2.825992041215804e+00, 1.075618306375536e+02, -2.704320546932013e+01, -6.378430338216799e+04, 1.163513532927507e+03, 1.094365722943959e+04, 6.853665775523800e+04
172, 1.719248000000000e-01, 1.327852000000000e-03, -3.695020267886605e-04, 1.393429961878984e-02, 3.018736273603341e-01, -2.989066076669606e+00, 1.134361486010485e+02, -3.171903572439987e+01, -5.106696139037445e+04, 5.115186833866483e+02, 9.086171287406969e+03, 5.468613756132139e+04
173, 1.814989000000000e-01, 1.186682000000000e-03, -3.755699394438126e-04, 1.442844274991797e-02, 3.171350627648972e-01, -3.148562425771389e+00, 1.190637993664299e+02, -3.644239036690726e+01, -3.837259372273693e+04, -2.117504055177244e+02, 6.991336170420353e+03, 4.064191295291924e+04
174, 1.905404000000000e-01, 1.050452000000000e-03, -3.810579992140476e-04, 1.489705602466018e-02, 3.317790100808137e-01, -3.303304265083999e+00, 1.244161078651196e+02, -4.128697378270624e+01, -2.586595640233775e+04, -9.937975647474418e+02, 4.678140862337756e+03, 2.657375195477332e+04
175, 1.990233000000000e-01, 9.200083000000000e-04, -3.859500866448919e-04, 1.533753109112051e-02, 3.457006508686998e-01, -3.452161286947189e+00, 1.294690149553179e+02, -4.633914623961027e+01, -1.374763011077465e+04, -1.823513015361532e+03, 2.169162755028034e+03, 1.268879965703323e+04
176, 2.069223000000000e-01, 7.961963000000000e-04, -3.902387529939285e-04, 1.574740008907330e-02, 3.588027159560321e-01, -3.594030937876352e+00, 1.342015212133574e+02, -5.168834602374466e+01, -2.262949084725184e+03, -2.699055790056424e+03, -4.908406205562833e+02, 1.074191378473677e+03
