"PointID","x","y","Temperature"
179, 9.264774877383078e-03, 1.641014982593511e-03, 4.003047167112661e+02
180, 9.222049989124148e-03, 1.615509404937148e-03, 4.004014866077748e+02
181, 9.182137851242509e-03, 1.585792511771305e-03, 4.004890901769107e+02
182, 9.145296108395384e-03, 1.552346721462857e-03, 4.005684435969936e+02
183, 9.112178310468667e-03, 1.515205939522626e-03, 4.006384711098832e+02
184, 9.082681181085536e-03, 1.475129938975062e-03, 4.007015551691715e+02
185, 9.057448935201343e-03, 1.432244804039600e-03, 4.007559863578184e+02
186, 9.036542415582337e-03, 1.387088084835689e-03, 4.008029618766797e+02
187, 9.020248664704125e-03, 1.340069839782873e-03, 4.008420467877085e+02
188, 9.008674149188659e-03, 1.291676299431707e-03, 4.008735315115983e+02
189, 9.002094049030214e-03, 1.242350963581405e-03, 4.008965857508898e+02
190, 9.000152396372736e-03, 1.192627640605074e-03, 4.009129941570437e+02
191, 9.003510091621352e-03, 1.142979742007475e-03, 4.009198273528644e+02
192, 9.011584288462582e-03, 1.093878114340080e-03, 4.009194449357255e+02
193, 9.024662971860345e-03, 1.045866853129453e-03, 4.009100611807741e+02
194, 9.042273456412547e-03, 9.993264411832458e-04, 4.008931574860117e+02
195, 9.064560261261467e-03, 9.548361961428300e-04, 4.008671101815625e+02
196, 9.091013637581653e-03, 9.126895814843071e-04, 4.008331910764297e+02
197, 9.121633282984577e-03, 8.734661651234564e-04, 4.007898919211622e+02
198, 9.155904517245956e-03, 8.373899026191695e-04, 4.007381166693523e+02
199, 9.193712560460129e-03, 8.050397151840168e-04, 4.006761885314550e+02
200, 9.234477201294857e-03, 7.765035272665616e-04, 4.006049189311893e+02
201, 9.277933306597066e-03, 7.522647900687473e-04, 4.005228658904143e+02
202, 9.323540403657560e-03, 7.323638488030061e-04, 4.004303095888222e+02
203, 9.370929858916752e-03, 7.171929049722545e-04, 4.003256926449418e+02
204, 9.419574111005288e-03, 7.067153823160402e-04, 4.002083945132072e+02
205, 9.469027061077970e-03, 7.012111024328067e-04, 4.000753539117688e+02
206, 9.518785589168292e-03, 7.000103488644843e-04, 3.999236323562349e+02
207, 9.568568903398555e-03, 6.999999999999997e-04, 3.997593025435883e+02
208, 9.618352234089177e-03, 6.999999999999997e-04, 3.995875636078298e+02
209, 9.668135564779799e-03, 6.999999999999997e-04, 3.994102359721775e+02
210, 9.717918895470419e-03, 6.999999999999997e-04, 3.992280408858749e+02
211, 9.767702226161041e-03, 6.999999999999997e-04, 3.990414032178835e+02
212, 9.817485556851663e-03, 6.999999999999997e-04, 3.988505972202816e+02
213, 9.867268887542285e-03, 6.999999999999997e-04, 3.986558266180326e+02
214, 9.917052218232907e-03, 6.999999999999997e-04, 3.984572435227274e+02
215, 9.966835548923528e-03, 6.999999999999997e-04, 3.982549891436333e+02
216, 1.001661887961415e-02, 6.999999999999997e-04, 3.980491868183126e+02
217, 1.006640221030477e-02, 6.999999999999997e-04, 3.978399446559031e+02
218, 1.011618554099539e-02, 6.999999999999997e-04, 3.976273600248051e+02
219, 1.016596887168602e-02, 6.999999999999997e-04, 3.974115239653709e+02
220, 1.021575220237664e-02, 6.999999999999997e-04, 3.971925278805884e+02
221, 1.026553553306726e-02, 6.999999999999997e-04, 3.969704477535025e+02
222, 1.031531886375788e-02, 6.999999999999997e-04, 3.967453631029138e+02
223, 1.036510219444850e-02, 6.999999999999997e-04, 3.965173517162879e+02
224, 1.041488552513912e-02, 6.999999999999997e-04, 3.962864896758839e+02
225, 1.046466885582975e-02, 6.999999999999997e-04, 3.960528518308525e+02
226, 1.051445218652037e-02, 6.999999999999997e-04, 3.958164967726981e+02
227, 1.056423551721099e-02, 6.999999999999997e-04, 3.955774918624809e+02
228, 1.061401884790161e-02, 6.999999999999997e-04, 3.953358985268084e+02
229, 1.066380217859223e-02, 6.999999999999997e-04, 3.950917776850739e+02
230, 1.071358550928285e-02, 6.999999999999997e-04, 3.948451859044415e+02
231, 1.076336883997348e-02, 6.999999999999997e-04, 3.945961774197967e+02
232, 1.081315217066410e-02, 6.999999999999997e-04, 3.943448070884222e+02
233, 1.086293550135472e-02, 6.999999999999997e-04, 3.940911293806974e+02
234, 1.091271883204534e-02, 6.999999999999997e-04, 3.938351933790406e+02
235, 1.096250216273596e-02, 6.999999999999997e-04, 3.935770440128092e+02
236, 1.101228549342658e-02, 6.999999999999997e-04, 3.933167252870845e+02
237, 1.106206882411720e-02, 6.999999999999997e-04, 3.930542807727742e+02
238, 1.111185215480783e-02, 6.999999999999997e-04, 3.927897543375552e+02
239, 1.116163548549845e-02, 6.999999999999997e-04, 3.925231901196748e+02
240, 1.121141881618907e-02, 6.999999999999997e-04, 3.922546244094190e+02
241, 1.126120214687969e-02, 6.999999999999997e-04, 3.919840942644038e+02
242, 1.131098547757031e-02, 6.999999999999997e-04, 3.917116338466427e+02
243, 1.136076880826094e-02, 6.999999999999997e-04, 3.914372771890944e+02
244, 1.141055213895156e-02, 6.999999999999997e-04, 3.911610571105912e+02
245, 1.146033546964218e-02, 6.999999999999997e-04, 3.908830074283160e+02
246, 1.151011880033280e-02, 6.999999999999997e-04, 3.906031579146050e+02
247, 1.155990213102342e-02, 6.999999999999997e-04, 3.903215406003760e+02
248, 1.160968546171404e-02, 6.999999999999997e-04, 3.900381877043854e+02
249, 1.165946879240467e-02, 6.999999999999997e-04, 3.897531284186551e+02
250, 1.170925212309529e-02, 6.999999999999997e-04, 3.894663911833426e+02
251, 1.175903545378591e-02, 6.999999999999997e-04, 3.891780040784460e+02
252, 1.180881878447653e-02, 6.999999999999997e-04, 3.888879935412738e+02
253, 1.185860211516715e-02, 6.999999999999997e-04, 3.885963854454095e+02
254, 1.190838544585777e-02, 6.999999999999997e-04, 3.883032021976232e+02
255, 1.195816877654840e-02, 6.999999999999997e-04, 3.880084667120313e+02
256, 1.200795210723902e-02, 6.999999999999997e-04, 3.877122035470406e+02
257, 1.205773543792964e-02, 6.999999999999997e-04, 3.874144374690238e+02
258, 1.210751876862026e-02, 6.999999999999997e-04, 3.871151926846848e+02
259, 1.215730209931088e-02, 6.999999999999997e-04, 3.868144892646420e+02
260, 1.220708543000150e-02, 6.999999999999997e-04, 3.865123472990796e+02
261, 1.225686876069213e-02, 6.999999999999997e-04, 3.862087869964727e+02
262, 1.230665209138275e-02, 6.999999999999997e-04, 3.859038288796413e+02
263, 1.235643542207337e-02, 6.999999999999997e-04, 3.855974929856251e+02
264, 1.240621875276399e-02, 6.999999999999997e-04, 3.852897970825010e+02
265, 1.245600208345461e-02, 6.999999999999997e-04, 3.849807611571296e+02
266, 1.250578541414523e-02, 6.999999999999997e-04, 3.846704059989581e+02
267, 1.255556874483586e-02, 6.999999999999997e-04, 3.843587480047750e+02
268, 1.260535207552648e-02, 6.999999999999997e-04, 3.840458037034666e+02
269, 1.265513540621710e-02, 6.999999999999997e-04, 3.837315903228804e+02
270, 1.270491873690772e-02, 6.999999999999997e-04, 3.834161230992016e+02
271, 1.275470206759834e-02, 6.999999999999997e-04, 3.830994176224212e+02
272, 1.280448539828897e-02, 6.999999999999997e-04, 3.827814903533906e+02
273, 1.285426872897959e-02, 6.999999999999997e-04, 3.824623578951689e+02
