"PointID","x","y","Pressure","Velocity_x","Velocity_y","ProgressVariable","EnthalpyTot","Y-CO","Y-NOx_tot","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Temperature","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_ProgressVariable","Residual_EnthalpyTot","Residual_Y-CO","Residual_Y-NOx_tot"
4430, 6.023890751828185e-03, 2.496687500000156e-05, 1.363245728586843e-01, 5.233528166652149e-02, 4.241786871165467e-04, 2.089421312000570e-01, -1.560956819073618e+06, 7.601326139045431e-04, 2.241295676648633e-06, 5.793157099213166e+00, 3.691331874466376e-01, 3.732534672236164e-05, 1.256782716860651e+03, 7.065731066550837e-02, 9.214687629885327e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.711845645467060e-17, 1.751582740349618e-17, 3.356368053495165e-19, -7.021530546033331e-20, 2.602942167362343e-12, 1.091164383680301e-19, 4.167268544699073e-21
4431, 6.064120302997314e-03, 1.736250000000151e-05, 1.330902341749520e-01, 3.596794376757204e-02, 1.832415236573394e-04, 2.089525169735960e-01, -1.570230323336775e+06, 7.531641836388788e-04, 2.216908650493609e-06, 5.655712824024816e+00, 3.720622614477432e-01, 3.711221101583154e-05, 1.254653673180054e+03, 7.015395028806962e-02, 9.142163225807158e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.906333674579508e-17, 1.350909686518732e-17, 2.369574669943905e-19, -7.902717893871046e-20, 2.071082888521758e-12, 1.211104021536842e-19, 4.966553566784480e-21
4432, 6.104373151096411e-03, 1.075000000000154e-05, 1.297127503495929e-01, 2.202277700906983e-02, 1.180888530930205e-04, 2.089623138801688e-01, -1.577697258286040e+06, 7.464634262685803e-04, 2.193074326660393e-06, 5.512185549447257e+00, 3.744135251462243e-01, 3.694114300191123e-05, 1.252944997405512e+03, 6.974993621625036e-02, 9.083951401370607e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.129524209203056e-17, 9.414559450494735e-18, 1.560658205316048e-19, -5.857608341181018e-20, 1.282647599243347e-12, 1.340281489689752e-19, 5.928097400535316e-21
4433, 6.144648086564381e-03, 5.000000000001639e-06, 1.263341271829073e-01, 1.011852162915910e-02, 7.415739348315172e-05, 2.089715571218947e-01, -1.583688162280114e+06, 7.400181382786468e-04, 2.169778083229646e-06, 5.368609858189160e+00, 3.763711636131838e-01, 3.680315754080329e-05, 1.251551114594777e+03, 6.942518868873607e-02, 9.037261561706230e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.383086168941591e-17, 4.943127943040324e-18, 6.887436652361530e-20, -9.141099844005700e-20, 9.198977950902743e-12, 1.478663809966662e-19, 7.082649335221812e-21
4434, 5.863229605925273e-03, 8.392920973066551e-05, 1.516033901206144e-01, 1.845769811136309e-01, 7.169100910170045e-03, 2.088946309367221e-01, -1.476066041356012e+06, 7.905945695044329e-04, 2.345635091994580e-06, 6.442435412230767e+00, 3.442627521353539e-01, 3.924036184210065e-05, 1.275168749207532e+03, 7.521872839396605e-02, 9.878984230952796e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.195650532520489e-17, 3.708437298021415e-17, 2.267507199799762e-18, -4.968708826600953e-20, 5.225153643095837e-12, 6.117279318610236e-20, 1.951686661572651e-21
4435, 5.903353932334194e-03, 6.863409541797000e-05, 1.467821992811381e-01, 1.487915690354153e-01, 4.671274117731423e-03, 2.089074253793769e-01, -1.501313342466813e+06, 7.826018875453482e-04, 2.318331856368009e-06, 6.237557338141170e+00, 3.512654838035102e-01, 3.868153896659479e-05, 1.269970902581442e+03, 7.387964382511972e-02, 9.682291729920420e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.244047877544232e-17, 3.255694217247051e-17, 1.388287000549798e-18, -4.591754220407442e-20, 4.437283873670594e-12, 6.907402885955742e-20, 2.257837268001684e-21
4436, 5.943506364274988e-03, 5.533399601562650e-05, 1.432469974275326e-01, 1.183413349354074e-01, 2.550428728854853e-03, 2.089196288358783e-01, -1.521668933761549e+06, 7.748434308524018e-04, 2.291949176579544e-06, 6.087327784613827e+00, 3.571562257365902e-01, 3.822400175382266e-05, 1.265595373308816e+03, 7.278873317132618e-02, 9.523285766790876e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.308740018890779e-17, 2.843461810664104e-17, 8.517975075826058e-19, -6.845563703466587e-20, 3.783584556771302e-12, 7.741600478107405e-20, 2.638586758368431e-21
4437, 5.983685704328975e-03, 4.376869218750124e-05, 1.399075465818377e-01, 9.228931519815256e-02, 1.320181956923778e-03, 2.089312154131549e-01, -1.538219026584911e+06, 7.673431850810768e-04, 2.266305455490483e-06, 5.945416733887371e+00, 3.620935385861939e-01, 3.784859394853987e-05, 1.261946797087129e+03, 7.189660089336697e-02, 9.393812287071248e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.402284220003176e-17, 2.453486518259244e-17, 5.105491089575295e-19, -5.866440836821365e-20, 3.015795946303967e-12, 8.632140217525154e-20, 3.104825852874118e-21
4438, 6.023890751828185e-03, 3.371190625000144e-05, 1.365959953607660e-01, 7.015322315814700e-02, 6.837970313755999e-04, 2.089421809544600e-01, -1.551644357971802e+06, 7.601156042181341e-04, 2.241303070935085e-06, 5.804691286791007e+00, 3.661579936838832e-01, 3.754273652396490e-05, 1.258947941080468e+03, 7.117101743599857e-02, 9.288778895882987e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.524251670451874e-17, 2.082164479539700e-17, 3.236724649695495e-19, -5.289560069306769e-20, 2.649259284170924e-12, 9.598389318483631e-20, 3.674538140999864e-21
4439, 6.064120302997315e-03, 2.496687500000156e-05, 1.332896520250101e-01, 5.139241061568006e-02, 3.201605457370971e-04, 2.089525429591848e-01, -1.562496608956513e+06, 7.531561833591117e-04, 2.216905871142876e-06, 5.664187150476375e+00, 3.695759416639034e-01, 3.729326878135729e-05, 1.256463179466501e+03, 7.058152511666717e-02, 9.203760637563598e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.675465580382488e-17, 1.711832079705015e-17, 2.248872474960167e-19, -5.855619876536622e-20, 2.131819026862658e-12, 1.063636091583317e-19, 4.366290806791307e-21
4440, 6.104373151096411e-03, 1.736250000000151e-05, 1.298454728040437e-01, 3.536908099058195e-02, 2.192157780026911e-04, 2.089623263531914e-01, -1.571275156301112e+06, 7.464603095123851e-04, 2.193067119986915e-06, 5.517825633352186e+00, 3.723489226726094e-01, 3.709149049795900e-05, 1.254447581798585e+03, 7.010498759873361e-02, 9.135100926925727e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.853114859201317e-17, 1.326072265137847e-17, 1.493954360719772e-19, -7.296288360794980e-20, 2.067046186993160e-12, 1.175154889440194e-19, 5.200346144918109e-21
4441, 6.144648086564381e-03, 1.075000000000154e-05, 1.264129742229766e-01, 2.165019793337342e-02, 1.718456723751911e-04, 2.089715625964918e-01, -1.578351014038479e+06, 7.400173081914162e-04, 2.169769326626976e-06, 5.371960488822736e+00, 3.745772786796064e-01, 3.692936396348803e-05, 1.252828211144692e+03, 6.972209091284323e-02, 9.079931815345379e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.061805910303545e-17, 9.226802686334998e-18, 8.078576734437889e-20, -5.676213368182464e-20, 2.115311398265263e-12, 1.295237260381046e-19, 6.203300261589609e-21
4442, 6.184943897163179e-03, 5.000000000001639e-06, 1.232439049678134e-01, 9.936437825702325e-03, 8.917734470761814e-05, 2.089802821140213e-01, -1.584044555543917e+06, 7.338159178912840e-04, 2.147002819631896e-06, 5.237289859247552e+00, 3.764491706969115e-01, 3.679802365314378e-05, 1.251499228784069e+03, 6.941314308629279e-02, 9.035528022798931e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.316208947288924e-17, 4.782173071498225e-18, 3.245194979168038e-20, -7.572317238734218e-20, 1.112002243758292e-11, 1.423126360398678e-19, 7.405619880438521e-21
4443, 5.903353932334194e-03, 8.392920973066518e-05, 1.470913219597991e-01, 1.791141210570094e-01, 6.383337058548062e-03, 2.089077746564398e-01, -1.482981908641079e+06, 7.824354665540796e-04, 2.318865897705820e-06, 6.250693606994690e+00, 3.461358398997449e-01, 3.909118137441417e-05, 1.273785852228150e+03, 7.486113802047925e-02, 9.826393583247943e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.161705687159273e-17, 3.575384303875525e-17, 1.687289630930566e-18, -4.790324742564479e-20, 4.741262937812962e-12, 6.156614503235260e-20, 2.044158956366575e-21
4444, 5.943506364274988e-03, 6.863409541797022e-05, 1.437139615674677e-01, 1.450944965255502e-01, 3.577943300668482e-03, 2.089198478075207e-01, -1.506317437853341e+06, 7.747474665047325e-04, 2.292203315701463e-06, 6.107171577743825e+00, 3.526423112131192e-01, 3.857346654967473e-05, 1.268951976325182e+03, 7.362132788271940e-02, 9.644487084037916e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.213353521118104e-17, 3.150679337144259e-17, 1.029992063861229e-18, -4.169576099162009e-20, 4.015093812981263e-12, 6.874345145918814e-20, 2.366030866439066e-21
4445, 5.983685704328974e-03, 5.533399601562639e-05, 1.403143588236668e-01, 1.155473246041945e-01, 1.940728945911595e-03, 2.089313507420925e-01, -1.525431661535681e+06, 7.672882435549454e-04, 2.266407251306746e-06, 5.962704352527060e+00, 3.582038836491078e-01, 3.814283095818967e-05, 1.264819098622469e+03, 7.259520267016584e-02, 9.495082307459259e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.282587876644302e-17, 2.758301912240545e-17, 5.965229531038410e-19, -5.843461856339870e-20, 3.498104583776751e-12, 7.650641953116970e-20, 2.764497169306006e-21
4446, 6.023890751828185e-03, 4.376869218750145e-05, 1.369083758639151e-01, 9.030948328859813e-02, 1.058190201945444e-03, 2.089422588744096e-01, -1.541011946359538e+06, 7.600864299614833e-04, 2.241338164479670e-06, 5.817965997956615e+00, 3.628971994678752e-01, 3.778826743841003e-05, 1.261356278824418e+03, 7.175346001738249e-02, 9.373082552495449e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.375920319519885e-17, 2.390109924958902e-17, 3.307663659028043e-19, -5.706267327840702e-20, 2.868032200620263e-12, 8.482507768358286e-20, 3.254114147271587e-21
4447, 6.064120302997315e-03, 3.371190625000155e-05, 1.335348048045773e-01, 6.888340932982256e-02, 5.249507296537669e-04, 2.089525876272380e-01, -1.553651927968931e+06, 7.531416125817698e-04, 2.216904220900949e-06, 5.674604997644791e+00, 3.667238713437606e-01, 3.750030370138302e-05, 1.258532866491440e+03, 7.107032561618537e-02, 9.274193960737424e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.492117358015414e-17, 2.037833885279513e-17, 1.823238418964881e-19, -4.606742345365991e-20, 2.489924932902454e-12, 9.371258689311710e-20, 3.848924379573963e-21
4448, 6.104373151096411e-03, 2.496687500000156e-05, 1.300178704081304e-01, 5.053025407439935e-02, 3.672689153343656e-04, 2.089623491155691e-01, -1.563924045879035e+06, 7.464539022695863e-04, 2.193059359481979e-06, 5.525151725655718e+00, 3.699856163520102e-01, 3.726359019669384e-05, 1.256167560228768e+03, 7.051140761646220e-02, 9.193650729747587e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.630406074566520e-17, 1.675623406443363e-17, 1.214433488125853e-19, -6.068440200332019e-20, 1.987238498757371e-12, 1.033181821745044e-19, 4.571054051452941e-21
4449, 6.144648086564382e-03, 1.736250000000151e-05, 1.265297011277384e-01, 3.477456424291572e-02, 3.049027914404003e-04, 2.089715735557982e-01, -1.572236059205185e+06, 7.400150362679276e-04, 2.169759118351923e-06, 5.376920836636849e+00, 3.726114236766398e-01, 3.707252050390240e-05, 1.254258928483649e+03, 7.006016058043929e-02, 9.128634916477628e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.797789049366830e-17, 1.296739613436104e-17, 6.680972371468294e-20, -4.730647700336613e-20, 1.840326502300371e-12, 1.136857763977342e-19, 5.440755281272505e-21
4450, 6.184943897163179e-03, 1.075000000000164e-05, 1.233161498585432e-01, 2.126761053198290e-02, 2.037149214851553e-04, 2.089802870228515e-01, -1.578954098494208e+06, 7.338154366092549e-04, 2.146992360672794e-06, 5.240359929395852e+00, 3.747273737001592e-01, 3.691857129647650e-05, 1.252721229786230e+03, 6.969657658769049e-02, 9.076248496181049e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.008722090801322e-17, 8.990586373169455e-18, 2.069936764852696e-20, -3.504573050649882e-20, 1.274478786394972e-12, 1.248515482132894e-19, 6.484894595182581e-21
4451, 6.225259368122704e-03, 5.000000000001639e-06, 1.205305894718814e-01, 9.759373656546664e-03, 7.977006445751650e-05, 2.089885159717098e-01, -1.584378014624424e+06, 7.278457964037209e-04, 2.124756519528234e-06, 5.121986634025215e+00, 3.765194992629640e-01, 3.679327583603640e-05, 1.251451632102015e+03, 6.940197141289013e-02, 9.033918727115379e+02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.278228784027429e-17, 4.743065212907636e-18, 9.529120656610879e-22, -4.483069231045867e-20, 9.857037928939771e-12, 1.366368659887949e-19, 7.736457035546162e-21
