"Time_Iter",    "Cur_Time"    ,      "mic1"
       5721,             1.083,       946.1414647
       5722,            1.0845,       946.1015836
       5723,             1.086,       946.0618837
       5724,            1.0875,        946.020582
       5725,             1.089,       945.9809473
       5726,            1.0905,       945.9507255
       5727,             1.092,       945.9333551
       5728,            1.0935,       945.9249064
       5729,             1.095,       945.9179007
       5730,            1.0965,        945.906861
       5731,             1.098,       945.8903676
       5732,            1.0995,       945.8730819
       5733,             1.101,       945.8619421
       5734,            1.1025,        945.859042
       5735,             1.104,       945.8640496
       5736,            1.1055,       945.8766452
       5737,             1.107,       945.8953527
       5738,            1.1085,       945.9181322
       5739,              1.11,       945.9430596
       5740,            1.1115,         945.96731
       5741,             1.113,       945.9914799
       5742,            1.1145,       946.0188233
       5743,             1.116,       946.0510992
       5744,            1.1175,       946.0909553
       5745,             1.119,       946.1402027
       5746,            1.1205,       946.1996896
       5747,             1.122,       946.2668522
       5748,            1.1235,       946.3371952
       5749,             1.125,        946.407758
       5750,            1.1265,       946.4743414
       5751,             1.128,       946.5432844
       5752,            1.1295,       946.6170706
       5753,             1.131,       946.6932318
       5754,            1.1325,       946.7740437
       5755,             1.134,       946.8611378
       5756,            1.1355,       946.9564442
       5757,             1.137,       947.0601647
       5758,            1.1385,       947.1698979
       5759,              1.14,       947.2835208
       5760,            1.1415,       947.4009255
       5761,             1.143,       947.5218555
       5762,            1.1445,        947.646218
       5763,             1.146,       947.7707645
       5764,            1.1475,       947.8950749
       5765,             1.149,       948.0231277
       5766,            1.1505,       948.1573328
       5767,             1.152,       948.2964127
       5768,            1.1535,       948.4379256
       5769,             1.155,        948.578308
       5770,            1.1565,       948.7197349
       5771,             1.158,       948.8656189
       5772,            1.1595,       949.0153975
       5773,             1.161,       949.1681443
       5774,            1.1625,       949.3220352
       5775,             1.164,       949.4787581
       5776,            1.1655,       949.6405782
       5777,             1.167,       949.8032528
       5778,            1.1685,       949.9635382
       5779,              1.17,       950.1223706
       5780,            1.1715,       950.2811097
       5781,             1.173,       950.4365939
       5782,            1.1745,       950.6152225
       5783,             1.176,       950.8078797
       5784,            1.1775,       950.9971846
       5785,             1.179,       951.1534621
       5786,            1.1805,       951.3024067
       5787,             1.182,       951.4531961
       5788,            1.1835,       951.6082417
       5789,             1.185,       951.7605383
       5790,            1.1865,       951.9061364
       5791,             1.188,        952.042151
       5792,            1.1895,       952.1725584
       5793,             1.191,       952.3019519
       5794,            1.1925,       952.4310368
       5795,             1.194,       952.5643866
       5796,            1.1955,       952.6977046
       5797,             1.197,       952.8203778
       5798,            1.1985,       952.9297534
       5799,               1.2,       953.0311408
       5800,            1.2015,       953.1257237
       5801,             1.203,       953.2189024
       5802,            1.2045,       953.3122072
       5803,             1.206,       953.4038028
       5804,            1.2075,       953.4908617
       5805,             1.209,       953.5699037
       5806,            1.2105,       953.6375266
       5807,             1.212,       953.6942604
       5808,            1.2135,       953.7439259
       5809,             1.215,       953.7919939
       5810,            1.2165,       953.8438233
       5811,             1.218,       953.8905892
       5812,            1.2195,       953.9323722
       5813,             1.221,       953.9666505
       5814,            1.2225,         953.99803
       5815,             1.224,       954.0242629
       5816,            1.2255,       954.0457685
       5817,             1.227,       954.0672776
       5818,            1.2285,       954.0876395
       5819,              1.23,       954.0957379
       5820,            1.2315,       954.1022472
       5821,             1.233,       954.1157937
       5822,            1.2345,       954.1231784
       5823,             1.236,       954.1209124
       5824,            1.2375,       954.1149618
       5825,             1.239,       954.1090144
       5826,            1.2405,       954.1039082
       5827,             1.242,       954.0977057
       5828,            1.2435,       954.0894445
       5829,             1.245,       954.0774485
       5830,            1.2465,       954.0597028
       5831,             1.248,       954.0401592
       5832,            1.2495,       954.0236647
       5833,             1.251,       954.0078109
       5834,            1.2525,       953.9888801
       5835,             1.254,       953.9680669
       5836,            1.2555,         953.94995
       5837,             1.257,       953.9330728
       5838,            1.2585,       953.9153308
       5839,              1.26,       953.8991076
       5840,            1.2615,       953.8829077
       5841,             1.263,       953.8638022
       5842,            1.2645,       953.8429364
       5843,             1.266,       953.8226024
       5844,            1.2675,       953.8052803
       5845,             1.269,       953.7904775
