"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","Species_0"
2124, -5.635685073311009e-02, 1.193216255233395e-02, -2.024488976933683e+00, 9.277264432967538e+00, -9.948605348659956e-03, 1.788902482115864e-03, 1.178973803722659e+02, 2.830424378950769e-38
2125, -5.635685073357202e-02, 1.325228343974578e-02, -2.006139275415229e+00, 9.267207038374201e+00, -1.079897679804557e-02, 1.790718569070537e-03, 1.174783241897028e+02, 7.958226416301670e-40
2126, -5.635685073411549e-02, 1.480536689072430e-02, -1.983769752721439e+00, 9.257252407347599e+00, -1.148811668117281e-02, 1.792142548529836e-03, 1.172146081175126e+02, 1.657082258693744e-41
2127, -5.635685073475488e-02, 1.663252391100944e-02, -1.956763950631345e+00, 9.247392150949004e+00, -1.197619834681366e-02, 1.793056108626938e-03, 1.171728917383381e+02, 2.544424648701822e-43
2128, -5.635685073550707e-02, 1.878212048237336e-02, -1.924359337458462e+00, 9.237606737444819e+00, -1.221581888939495e-02, 1.793596967404131e-03, 1.171924397906370e+02, 2.871976490627047e-45
2129, -5.635685073639202e-02, 2.131105777331765e-02, -1.885849179538505e+00, 9.227922450360833e+00, -1.215088760808680e-02, 1.793828635440109e-03, 1.172129854278974e+02, 2.378248369778020e-47
2130, -5.635685073743313e-02, 2.428627817040993e-02, -1.841537556277568e+00, 9.218566049611667e+00, -1.172235947933978e-02, 1.793788138327936e-03, 1.172194185915021e+02, 1.442948636672876e-49
2131, -5.635685073865798e-02, 2.778653746790886e-02, -1.794938068512888e+00, 9.210219523011823e+00, -1.089322493166424e-02, 1.793536891757425e-03, 1.172112268635101e+02, 6.408650634009083e-52
2132, -5.635685074009897e-02, 3.190448970245097e-02, -1.755572398924702e+00, 9.204176463170807e+00, -9.704425142635359e-03, 1.793202075856760e-03, 1.171952271213632e+02, 2.082074910211093e-54
2133, -5.635685074179425e-02, 3.674913958808510e-02, -1.733431912895792e+00, 9.201271203372375e+00, -8.313878642740314e-03, 1.792914178801749e-03, 1.171788933653778e+02, 4.945473606546222e-57
2134, -5.635685074378868e-02, 4.244872796938986e-02, -1.723371205631826e+00, 9.200218049892689e+00, -6.904281816603985e-03, 1.792694521177927e-03, 1.171651723099882e+02, 8.587042205364801e-60
2135, -5.635685074613511e-02, 4.915412619420778e-02, -1.716539298094296e+00, 9.199691818531829e+00, -5.565733575711489e-03, 1.792521973698743e-03, 1.171540794358380e+02, 1.090292276494677e-62
2136, -5.635685074889558e-02, 5.704283023656755e-02, -1.710178327720772e+00, 9.199311783273743e+00, -4.310928666288533e-03, 1.792384436179011e-03, 1.171451834912113e+02, 1.013018263778906e-65
2137, -5.635685075214322e-02, 6.632365879792453e-02, -1.703966012299583e+00, 9.199003155975349e+00, -3.127906205273481e-03, 1.792274716832628e-03, 1.171380706714248e+02, 6.894918716846520e-69
2138, -5.635685075596396e-02, 7.724228103611164e-02, -1.698122054753518e+00, 9.198746460548715e+00, -1.997364341089223e-03, 1.792187205611692e-03, 1.171323876349043e+02, 3.442211237002373e-72
2139, -5.635685076045895e-02, 9.008771925015802e-02, -1.693114065438801e+00, 9.198538045579674e+00, -8.956022826874076e-04, 1.792117409529257e-03, 1.171278520397907e+02, 1.262115680890318e-75
2140, -6.348538650058966e-02, 4.508562445632868e-03, -1.926600780789673e+00, 1.795200875280072e-01, 3.048978663970385e-06, 1.047275948676528e-07, 1.884806049909995e+07, 6.172318276364734e-26
2141, -6.348538650059357e-02, 4.518635918761898e-03, -1.925831700078535e+00, 3.900825322691069e-01, 1.384299172754721e-05, 1.305478653434396e-06, 4.663117677527939e+06, 6.121537058829929e-26
2142, -6.348538650059815e-02, 4.530487089040728e-03, -1.924680229724037e+00, 6.366548792799247e-01, 3.648503090552455e-05, 7.314215697710223e-06, 1.706861489696804e+06, 6.033454836092608e-26
2143, -6.348538650060354e-02, 4.544429601446054e-03, -1.923000301956509e+00, 9.247200042456699e-01, 7.665531523554270e-05, 2.739906289437007e-05, 7.747924988209900e+05, 5.898595855656823e-26
2144, -6.348538650060986e-02, 4.560832540420872e-03, -1.920607997604028e+00, 1.260138795947590e+00, 1.421009141417411e-04, 8.144315323023685e-05, 4.019410856864770e+05, 5.706758305259807e-26
2145, -6.348538650061733e-02, 4.580130236679586e-03, -1.917287484467931e+00, 1.648850608722585e+00, 2.430747543710021e-04, 2.085517763842221e-04, 2.294249708185834e+05, 5.447805794958659e-26
2146, -6.348538650062613e-02, 4.602833467935127e-03, -1.912814465266353e+00, 2.096315758566641e+00, 3.925910474610112e-04, 4.792528202159920e-04, 1.420721964227818e+05, 5.113014376656993e-26
2147, -6.348538650063648e-02, 4.629543137198351e-03, -1.907008519324885e+00, 2.606600331678826e+00, 6.062052689102505e-04, 1.004471934609217e-03, 9.536564645818133e+04, 4.697092071325677e-26
2148, -6.348538650064864e-02, 4.660966281841017e-03, -1.899823753363973e+00, 3.180999427675490e+00, 9.008951825355900e-04, 1.915250490499415e-03, 6.945812870194054e+04, 4.200858530866822e-26
