"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
36, 6.958900094030001e-01, 4.497453975533058e-01, 1.553347484460949e-04, 0.000000000000000e+00, -1.467917278967224e-02, 4.492519154422711e+01, 0.000000000000000e+00, -9.444057655626068e+01
37, 6.812700033190000e-01, 4.483154001683055e-01, 1.558747973397520e-04, 0.000000000000000e+00, -1.473042590600417e-02, 4.516860975517742e+01, 0.000000000000000e+00, -9.444057655626068e+01
38, 6.664699912070000e-01, 4.469153988213058e-01, 1.563231732897923e-04, 0.000000000000000e+00, -1.477277775515404e-02, 4.526982750943321e+01, 0.000000000000000e+00, -9.444057655626068e+01
39, 6.514999866490000e-01, 4.455253998793055e-01, 1.544478086002531e-04, 0.000000000000000e+00, -1.459996222873496e-02, 4.441351934619244e+01, 0.000000000000000e+00, -9.444057655626068e+01
40, 6.363800168040000e-01, 4.441553982943057e-01, 1.547293016116130e-04, 0.000000000000000e+00, -1.462662885127713e-02, 4.456273702703612e+01, 0.000000000000000e+00, -9.444057655626068e+01
41, 6.211299896240000e-01, 4.428154001983055e-01, 1.535787796870194e-04, 0.000000000000000e+00, -1.451828681080413e-02, 4.455947176729448e+01, 0.000000000000000e+00, -9.444057655626068e+01
42, 6.057599782940000e-01, 4.414953994603058e-01, 1.539932721102024e-04, 0.000000000000000e+00, -1.455735079214103e-02, 4.468088406307973e+01, 0.000000000000000e+00, -9.444057655626068e+01
43, 5.902799963950000e-01, 4.402153971643056e-01, 1.555748184482471e-04, 0.000000000000000e+00, -1.470804022800966e-02, 4.574693673482470e+01, 0.000000000000000e+00, -9.444057655626068e+01
44, 5.747100114820000e-01, 4.389653983563057e-01, 1.554436044598011e-04, 0.000000000000000e+00, -1.469566220279599e-02, 4.585706109457979e+01, 0.000000000000000e+00, -9.444057655626068e+01
45, 5.590599775310000e-01, 4.377553979903056e-01, 1.564654642052673e-04, 0.000000000000000e+00, -1.479263968069547e-02, 4.543919909238597e+01, 0.000000000000000e+00, -9.444057655626068e+01
46, 5.433599948880000e-01, 4.365853997923058e-01, 1.572934678359244e-04, 0.000000000000000e+00, -1.487084309625787e-02, 4.553329355724403e+01, 0.000000000000000e+00, -9.444057655626068e+01
47, 5.276100039480000e-01, 4.354653987143057e-01, 1.610264368330394e-04, 0.000000000000000e+00, -1.522809540332811e-02, 4.665386543112510e+01, 0.000000000000000e+00, -9.444057655626068e+01
48, 5.118399858470000e-01, 4.343953984833057e-01, 1.610381532244911e-04, 0.000000000000000e+00, -1.522908051371044e-02, 4.688781066621593e+01, 0.000000000000000e+00, -9.444057655626068e+01
49, 4.960500001910000e-01, 4.333753990983057e-01, 1.631139911442929e-04, 0.000000000000000e+00, -1.542528275473828e-02, 4.761938481026043e+01, 0.000000000000000e+00, -9.444057655626068e+01
50, 4.802699983120000e-01, 4.324153992393057e-01, 1.635966483121313e-04, 0.000000000000000e+00, -1.547074602708532e-02, 4.770761052202730e+01, 0.000000000000000e+00, -9.444057655626068e+01
51, 4.645099937920000e-01, 4.315054002263058e-01, 1.661587287882870e-04, 0.000000000000000e+00, -1.570772778115114e-02, 4.835216812819311e+01, 0.000000000000000e+00, -9.444057655626068e+01
52, 4.487800002100000e-01, 4.306653994173056e-01, 1.661932455543934e-04, 0.000000000000000e+00, -1.571098032462093e-02, 4.838416259381454e+01, 0.000000000000000e+00, -9.444057655626068e+01
53, 4.331099987030000e-01, 4.298954005393057e-01, 1.654559224459815e-04, 0.000000000000000e+00, -1.563981368309877e-02, 4.836742548377515e+01, 0.000000000000000e+00, -9.444057655626068e+01
54, 4.174999892710000e-01, 4.291953998663057e-01, 1.646711229831669e-04, 0.000000000000000e+00, -1.556573156309233e-02, 4.850827507305216e+01, 0.000000000000000e+00, -9.444057655626068e+01
55, 4.019699990750000e-01, 4.285653973973055e-01, 1.597485549759264e-04, 0.000000000000000e+00, -1.509922608377560e-02, 4.692639305593168e+01, 0.000000000000000e+00, -9.444057655626068e+01
56, 3.865399956700000e-01, 4.280054005833057e-01, 1.600072385764675e-04, 0.000000000000000e+00, -1.512378635500945e-02, 4.688997118838821e+01, 0.000000000000000e+00, -9.444057655626068e+01
57, 3.712300062180000e-01, 4.275353993333056e-01, 1.578522285656386e-04, 0.000000000000000e+00, -1.492108185222691e-02, 4.655605828104801e+01, 0.000000000000000e+00, -9.444057655626068e+01
58, 3.560400009160000e-01, 4.271453986913055e-01, 1.567379640295665e-04, 0.000000000000000e+00, -1.481591729081651e-02, 4.702225391898137e+01, 0.000000000000000e+00, -9.444057655626068e+01
59, 3.409900069240000e-01, 4.268453973383054e-01, 1.536560901981906e-04, 0.000000000000000e+00, -1.452917635957249e-02, 4.742104256126753e+01, 0.000000000000000e+00, -9.444057655626068e+01
