"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Grid_Velocity_x","Grid_Velocity_y"
88, 1.408475006606976e-01, 3.609399168501165e-02, 6.234150049965246e-01, -3.423699549754321e-02, -1.016396210606324e-01, 1.435310380363615e+05, 0.000000000000000e+00, -5.491881923042230e-02, -1.630379037225402e-01
89, 1.316901394687026e-01, 3.492932775527295e-02, 6.281749149887150e-01, -3.338521860127810e-02, -1.111681892800055e-01, 1.446443408565523e+05, 0.000000000000000e+00, -5.314672462864752e-02, -1.769712882126712e-01
90, 1.229631353550202e-01, 3.380423234648058e-02, 6.323136758708733e-01, -3.252273095343488e-02, -1.202967801909901e-01, 1.456339760086059e+05, 0.000000000000000e+00, -5.143483551669583e-02, -1.902498628165850e-01
91, 1.146649918347970e-01, 3.265374227685343e-02, 6.378391157277157e-01, -3.169037949423475e-02, -1.294013094363572e-01, 1.469501897458299e+05, 0.000000000000000e+00, -4.968430715420145e-02, -2.028759045110668e-01
92, 1.067798556030444e-01, 3.150948752038063e-02, 6.393902928101092e-01, -3.065424742525295e-02, -1.373871042800741e-01, 1.473178894419122e+05, 0.000000000000000e+00, -4.794326613350503e-02, -2.148735348950374e-01
93, 9.928935654546897e-02, 3.041673843188078e-02, 6.422141352867481e-01, -2.972184310743192e-02, -1.453132268951006e-01, 1.479769949771077e+05, 0.000000000000000e+00, -4.628059357073463e-02, -2.262707050190461e-01
94, 9.219495562703306e-02, 2.928155687803154e-02, 6.485891388984564e-01, -2.889661822408807e-02, -1.537568136621358e-01, 1.494505407116143e+05, 0.000000000000000e+00, -4.455335788304413e-02, -2.370651919516043e-01
95, 8.547511790756973e-02, 2.816146078149619e-02, 6.529982070292726e-01, -2.798016406716510e-02, -1.614785859734531e-01, 1.504722063331910e+05, 0.000000000000000e+00, -4.284907547551338e-02, -2.472897621846115e-01
96, 7.911417914774393e-02, 2.706900466344529e-02, 6.579526119460917e-01, -2.709878825641255e-02, -1.690716432202650e-01, 1.516269694473021e+05, 0.000000000000000e+00, -4.118684868197975e-02, -2.569682496441109e-01
97, 7.310406074133183e-02, 2.597283311695780e-02, 6.629421129345693e-01, -2.619858290674529e-02, -1.764160938503731e-01, 1.527954365919209e+05, 0.000000000000000e+00, -3.951896867767207e-02, -2.661129463347860e-01
98, 6.742550982107776e-02, 2.490501372658471e-02, 6.665747635384005e-01, -2.525913270319121e-02, -1.831420396035244e-01, 1.536340977172535e+05, 0.000000000000000e+00, -3.789422790135632e-02, -2.747531464601072e-01
99, 6.206687762938995e-02, 2.385289701860793e-02, 6.707254213907614e-01, -2.434269568779187e-02, -1.897510986870002e-01, 1.545931760414458e+05, 0.000000000000000e+00, -3.629337954413021e-02, -2.829065741891835e-01
100, 5.701590910252399e-02, 2.281154069337622e-02, 6.746985854725893e-01, -2.341785998415387e-02, -1.960603520803253e-01, 1.555098824930113e+05, 0.000000000000000e+00, -3.470890364911287e-02, -2.905918762163543e-01
101, 5.225675756875744e-02, 2.179062707166258e-02, 6.786568664149941e-01, -2.250104394971588e-02, -2.021248533289332e-01, 1.564450832569541e+05, 0.000000000000000e+00, -3.315553235313484e-02, -2.978331640476929e-01
102, 4.777851876183978e-02, 2.078158083243916e-02, 6.839599459227867e-01, -2.162679065863026e-02, -2.083647098366734e-01, 1.576690542907110e+05, 0.000000000000000e+00, -3.162021787501740e-02, -3.046470290713805e-01
