"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
2085, 1.010058921740758e+00, 1.791760613170723e-02, 1.339615587346279e+00, 2.825934025532086e+02, -1.041549049263430e+01, 3.210087800918462e+05, 1.164646372783140e+05, 3.028616133636237e+02, 6.050700314867453e-01, 3.335192026698481e-01, 2.109511155457769e+02, -7.774984548565113e+00
2086, 1.006322858993581e+00, -1.144988788237474e-02, 1.364920189563425e+00, 2.983144590168091e+02, 1.515559355259770e+01, 3.277218009743689e+05, 1.180152514563060e+05, 3.012043388540361e+02, 6.289952067069527e-01, 3.676785153921696e-01, 2.185581701390366e+02, 1.110364816088278e+01
2087, 1.012822887157598e+00, -2.989775810462398e-02, 1.338114315993890e+00, 3.074975345432253e+02, 1.639210566513947e+01, 3.222541807553042e+05, 1.147289766295747e+05, 2.986828233807539e+02, 6.642180224984655e-01, 2.952834018358239e-01, 2.297991515880541e+02, 1.225015342053504e+01
2088, 1.006945887720301e+00, -1.565826120706894e-02, 1.356844287184598e+00, 3.011163672873308e+02, 1.625007417220971e+01, 3.260740359668705e+05, 1.170256987837857e+05, 3.004564820503091e+02, 6.395819593458724e-01, 3.458791279780776e-01, 2.219240410497922e+02, 1.197637365296206e+01
2089, -5.873953260972905e-02, -5.892124840394492e-02, 1.406738664832263e+00, 2.849471389690294e+02, -1.769578420958147e+01, 3.364155630897155e+05, 1.229780013783801e+05, 3.045400057343645e+02, 5.801171531737136e-01, 4.770055994320805e-01, 2.025586884704032e+02, -1.257929752836607e+01
2090, 5.676797566295166e-01, 3.861898413772953e-01, 8.679539171303666e-01, 3.351469072424648e+02, -1.678743274322346e+01, 2.209941751320758e+05, 6.245037835683945e+04, 2.506506018220305e+02, 1.218146339341004e+00, -8.563899237593089e-01, 3.861344486473765e+02, -1.934138715420070e+01
2091, 7.455675319723288e-01, -3.466530475711972e-01, 1.206864370625564e+00, 3.353275853323246e+02, 2.211658941949207e+01, 2.948832884509732e+05, 9.923808345191332e+04, 2.864509371993752e+02, 8.206905012953202e-01, -4.597380573663865e-02, 2.778502651118216e+02, 1.832566273211645e+01
2092, 3.009641760381451e-01, 3.704004746151988e-01, 9.732236785278935e-01, 3.436160640903408e+02, 1.675410800525444e+01, 2.443885037271029e+05, 7.343361355098950e+04, 2.628527821880288e+02, 1.087605219862083e+00, -6.144343354351828e-01, 3.530699793598296e+02, 1.721506409564228e+01
2093, 1.012822896690738e+00, 2.989773985286423e-02, 1.327319685587245e+00, 2.895825323009364e+02, -1.194157547520942e+01, 3.186536940632383e+05, 1.148042941071455e+05, 3.013095816037653e+02, 6.274952700829417e-01, 2.969426110100443e-01, 2.181709014379732e+02, -8.996759111521893e+00
2094, -5.925968442660299e-02, 4.925930824586490e-02, 1.396944697595239e+00, 2.848593880198174e+02, 5.070538096645910e+01, 3.344148191811148e+05, 1.217803556242337e+05, 3.036885162406635e+02, 5.928731040129049e-01, 4.506220177345192e-01, 2.039160093525440e+02, 3.629734309006330e+01
2095, 6.331970466656377e-02, -2.645442974893438e-01, 1.215322422532293e+00, 3.336166308711449e+02, -2.979391377168250e+01, 2.966754945176531e+05, 1.002079804379635e+05, 2.872375040234796e+02, 8.111697739931159e-01, -2.460742399890132e-02, 2.745087432650247e+02, -2.451523416280163e+01
2096, 9.498639253432243e-01, -2.207124483925812e-01, 1.261449824037419e+00, 3.261821544156489e+02, 2.269290450816449e+01, 3.063553088950868e+05, 1.055918233975299e+05, 2.916021047103463e+02, 7.571719837526463e-01, 9.399614477657477e-02, 2.585771928459781e+02, 1.798954193479782e+01
2097, 1.005356836562858e+00, -6.777680946957303e-03, 1.374403073313831e+00, 2.951600982014632e+02, 1.289758039316227e+01, 3.296681985398767e+05, 1.191656443796087e+05, 3.020419694735142e+02, 6.169859385348957e-01, 3.930211390946890e-01, 2.147551209193682e+02, 9.384132387062287e+00
2098, 9.680081490716691e-01, -2.007363759606580e-01, 1.268085520275900e+00, 3.248508085118393e+02, 2.220195651142116e+01, 3.077396777087034e+05, 1.063744476513041e+05, 2.922261791926501e+02, 7.492710409238967e-01, 1.112369948914401e-01, 2.561742116897297e+02, 1.750824858136590e+01
