"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Surface_Sensitivity","Limiter_Adjoint_Density"
2112,1.255102040816327e+00,5.046542074193914e-01,-1.441606732140207e+03,4.582841553044763e+00,7.806396641223299e-01,-2.653851066780904e-03,0.000000000000000e+00,0.000000000000000e+00,
2113,1.234693877551021e+00,5.025979160991761e-01,-1.512059873243885e+03,4.751143111766863e+00,7.126566338176324e-01,-2.783509798202044e-03,0.000000000000000e+00,0.000000000000000e+00,
2114,1.214285714285714e+00,5.005416247789608e-01,-1.597525866048121e+03,4.955296253036773e+00,6.296165767803088e-01,-2.940828840305106e-03,0.000000000000000e+00,0.000000000000000e+00,
2115,1.193877551020408e+00,4.984853334587458e-01,-1.677629185977264e+03,5.147011922268693e+00,5.517788773594506e-01,-3.088319035666069e-03,0.000000000000000e+00,0.000000000000000e+00,
2116,1.173469387755102e+00,4.964290421385306e-01,-1.736123069943986e+03,5.287709201333403e+00,4.953666601005976e-01,-3.196034682455408e-03,0.000000000000000e+00,0.000000000000000e+00,
2117,1.153061224489796e+00,4.943727508183151e-01,-1.767655300066105e+03,5.364006822480130e+00,4.649475168935716e-01,-3.254112034209483e-03,0.000000000000000e+00,0.000000000000000e+00,
2118,1.132653061224490e+00,4.923164594980999e-01,-1.778549303675464e+03,5.390504253133322e+00,4.537361813083901e-01,-3.274250085088606e-03,0.000000000000000e+00,0.000000000000000e+00,
2119,1.112244897959184e+00,4.902601681778848e-01,-1.779631023638768e+03,5.393466740467327e+00,4.516634846929798e-01,-3.276372522190599e-03,0.000000000000000e+00,0.000000000000000e+00,
2120,1.091836734693878e+00,4.882038768576694e-01,-1.777863905191310e+03,5.389825542619897e+00,4.524639079392430e-01,-3.273272773274237e-03,0.000000000000000e+00,0.000000000000000e+00,
2121,1.071428571428571e+00,4.861475855374543e-01,-1.775791296743733e+03,5.385542857807791e+00,4.538694114071663e-01,-3.269629646717711e-03,0.000000000000000e+00,0.000000000000000e+00,
2122,1.051020408163265e+00,4.840912942172390e-01,-1.774539435062759e+03,5.382967996885648e+00,4.547680299869176e-01,-3.267476040997691e-03,0.000000000000000e+00,0.000000000000000e+00,
2123,1.030612244897959e+00,4.820350028970238e-01,-1.775770006487254e+03,5.385455119875861e+00,4.530189148799527e-01,-3.269785830744464e-03,0.000000000000000e+00,0.000000000000000e+00,
2124,1.010204081632653e+00,4.799787115768084e-01,-1.781895102917991e+03,5.398046034710523e+00,4.452011219714799e-01,-3.280985108621512e-03,0.000000000000000e+00,0.000000000000000e+00,
2125,9.897959183673470e-01,4.779224202565934e-01,-1.795032835650711e+03,5.425241470822924e+00,4.281027765319869e-01,-3.305014071656129e-03,0.000000000000000e+00,0.000000000000000e+00,
2126,9.693877551020410e-01,4.758661289363780e-01,-1.816118994466828e+03,5.469010982500880e+00,4.000382749304660e-01,-3.343634909589509e-03,0.000000000000000e+00,0.000000000000000e+00,
2127,9.489795918367347e-01,4.738098376161628e-01,-1.844842582714825e+03,5.528664035604701e+00,3.610954646567760e-01,-3.396302636987750e-03,0.000000000000000e+00,0.000000000000000e+00,
2128,9.285714285714286e-01,4.717535462959475e-01,-1.879945545284471e+03,5.601551881598244e+00,3.128572415873124e-01,-3.460730186248672e-03,0.000000000000000e+00,0.000000000000000e+00,
2129,9.081632653061222e-01,4.696972549757324e-01,-1.919457372602549e+03,5.683585786128010e+00,2.581036375317887e-01,-3.533323544901162e-03,0.000000000000000e+00,0.000000000000000e+00,
2130,8.877551020408163e-01,4.676409636555171e-01,-1.960885659375756e+03,5.769612037877698e+00,2.004787686040371e-01,-3.609522661912108e-03,0.000000000000000e+00,0.000000000000000e+00,
2131,8.673469387755102e-01,4.655846723353019e-01,-2.001503614434372e+03,5.853982807057454e+00,1.439872935358822e-01,-3.684319622923075e-03,0.000000000000000e+00,0.000000000000000e+00,
2132,8.469387755102040e-01,4.635283810150866e-01,-2.038736248897080e+03,5.931349671050431e+00,9.236922897830614e-02,-3.752965757738003e-03,0.000000000000000e+00,0.000000000000000e+00,
2133,8.265306122448980e-01,4.614720896948714e-01,-2.070534693330519e+03,5.997445984879861e+00,4.853326182452188e-02,-3.811664464120600e-03,0.000000000000000e+00,0.000000000000000e+00,
