"PointID","x","y","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Pressure","Temperature","Pressure_Coefficient","Mach"
39,7.040816326530613e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285049e+02,-3.045456162630075e-13,5.307920350591177e+05,1.000000000000001e+05,3.000000000000005e+02,5.197112581559591e-16,2.002826699082777e+00,
40,6.836734693877552e-01,1.000000000000000e+00,1.161205517119654e+00,8.075360800285055e+02,-8.232979753988982e-14,5.307920350591178e+05,1.000000000000001e+05,3.000000000000002e+02,4.677401323403632e-16,2.002826699082778e+00,
41,6.632653061224490e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285052e+02,4.659541798777180e-14,5.307920350591175e+05,1.000000000000000e+05,3.000000000000001e+02,0.000000000000000e+00,2.002826699082779e+00,
42,6.428571428571429e-01,1.000000000000000e+00,1.161205517119652e+00,8.075360800285046e+02,-9.134346258881718e-15,5.307920350591170e+05,9.999999999999990e+04,2.999999999999999e+02,-3.637978807091714e-16,2.002826699082779e+00,
43,6.224489795918368e-01,1.000000000000000e+00,1.161205517119652e+00,8.075360800285042e+02,1.555499754213378e-13,5.307920350591165e+05,9.999999999999984e+04,2.999999999999997e+02,-5.716823839715551e-16,2.002826699082779e+00,
44,6.020408163265307e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285040e+02,3.855315286845054e-14,5.307920350591165e+05,9.999999999999994e+04,2.999999999999999e+02,-2.078845032623836e-16,2.002826699082777e+00,
45,5.816326530612246e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285042e+02,-1.019596312924200e-13,5.307920350591169e+05,1.000000000000001e+05,3.000000000000002e+02,3.118267548935754e-16,2.002826699082775e+00,
46,5.612244897959184e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285040e+02,-2.828522668576564e-13,5.307920350591169e+05,1.000000000000001e+05,3.000000000000003e+02,4.157690065247673e-16,2.002826699082775e+00,
47,5.408163265306123e-01,1.000000000000000e+00,1.161205517119654e+00,8.075360800285043e+02,-3.080009713850411e-13,5.307920350591171e+05,1.000000000000002e+05,3.000000000000003e+02,5.716823839715551e-16,2.002826699082775e+00,
48,5.204081632653061e-01,1.000000000000000e+00,1.161205517119655e+00,8.075360800285050e+02,-2.677975241110264e-13,5.307920350591177e+05,1.000000000000003e+05,3.000000000000005e+02,1.195335893758706e-15,2.002826699082774e+00,
49,5.000000000000000e-01,1.000000000000000e+00,1.161205517119655e+00,8.075360800285058e+02,-2.796169268204306e-14,5.307920350591179e+05,1.000000000000002e+05,3.000000000000001e+02,8.315380130495346e-16,2.002826699082776e+00,
50,4.800000000000000e-01,1.000000000000000e+00,1.161205517119655e+00,8.075360800285060e+02,7.035256986539322e-15,5.307920350591178e+05,1.000000000000001e+05,2.999999999999998e+02,2.598556290779796e-16,2.002826699082779e+00,
51,4.600000000000000e-01,1.000000000000000e+00,1.161205517119653e+00,8.075360800285056e+02,5.272802582867037e-14,5.307920350591171e+05,9.999999999999972e+04,2.999999999999992e+02,-9.874513904963223e-16,2.002826699082783e+00,
52,4.400000000000000e-01,1.000000000000000e+00,1.161205517119652e+00,8.075360800285052e+02,-2.215109329163346e-13,5.307920350591170e+05,9.999999999999974e+04,2.999999999999993e+02,-9.354802646807264e-16,2.002826699082782e+00,
