"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
1560, -7.980591106589869e+00, -1.093914711969695e+01, 1.224799020151612e+00, 3.318456557873965e+02, -4.975135908246985e-03, 2.982172621633670e+05, -2.872127643642985e-01, 1.120366161461602e-01
1561, -7.577292112071988e+00, -1.194913135767450e+01, 1.224886100886276e+00, 3.318663982727792e+02, 5.849083696621576e-04, 2.982455259167276e+05, -2.748902974810100e-01, 8.278873412982353e-02
1562, -6.913087557705310e-04, 6.016064237150851e-03, 1.540087815779126e+00, 1.698557875720223e+02, 1.167976250772496e+02, 3.628388838782060e+05, 1.057376468690608e-02, 4.612601666954113e-01
1563, -6.726705461343731e+00, 1.187917663766193e+01, 1.225584779760755e+00, 3.318330837382928e+02, 6.248229583155666e-02, 2.984101588123896e+05, 3.060156481392274e-01, 7.006956091444924e-02
1564, -8.052085924744272e+00, 1.183462746742902e+01, 1.225146374152438e+00, 3.318553440509594e+02, 3.479733764618201e-02, 2.983090435064294e+05, 2.628432600030246e-01, 8.977322194054373e-02
1565, -7.152223716520874e+00, 1.052425842972010e+01, 1.225455159966585e+00, 3.318007445805225e+02, 6.299515826926570e-02, 2.983707969584058e+05, 3.278156377297588e-01, 1.122887448642497e-01
1566, -1.034779466813043e+01, 8.818208490707638e+00, 1.224277529479970e+00, 3.318463051165111e+02, 7.216171761373311e-02, 2.980878471979024e+05, 2.255020439349162e-01, 1.777959941619728e-01
1567, 2.893598447440323e-02, -3.410930500741033e-02, 1.186572534799905e+00, 3.267751873841623e+02, -8.307502997949376e+01, 2.901822178611586e+05, -6.109242374785905e-02, 4.059886585280412e-01
1568, -4.723141847961375e-01, -1.406437067644604e+01, 1.223828753588101e+00, 3.318959049204319e+02, 2.005003815669697e-01, 2.979832703878828e+05, -3.206202193091902e-01, -1.156054952216841e-01
1569, 7.241312832542367e-01, -1.379123439963940e+01, 1.223106311728436e+00, 3.318731763933710e+02, 4.249111216439534e-01, 2.977982362080187e+05, -3.292996047496125e-01, -1.565347724673200e-01
1570, 9.627370979551811e-01, -1.737771306777894e-02, 1.303299255842697e+00, 3.121703618371100e+02, 2.932468849629330e+01, 3.148665608968532e+05, -2.920523147350325e-02, -1.326728610685329e+00
1571, -1.275684238144278e+01, -5.877454530728532e+00, 1.224430429102963e+00, 3.318236193439832e+02, -6.898539147709096e-02, 2.981081988130439e+05, -1.336815078708214e-01, 2.160667803047236e-01
1572, -1.149141116411423e+01, -7.855051845063223e+00, 1.224038615110625e+00, 3.318499883810243e+02, -7.381370787703077e-02, 2.980224967155502e+05, -1.853436660574959e-01, 1.927180562629766e-01
1573, -1.193864068784177e+01, -6.719391062312609e+00, 1.224134934352341e+00, 3.318304689311095e+02, -6.743676944339733e-02, 2.980415536180440e+05, -1.658762757800686e-01, 2.156311117260714e-01
1574, -1.866968457628226e-03, 2.024574949654966e-04, 1.632880540891431e+00, 8.603113580774972e+01, 1.637421887452395e+01, 3.811640851227246e+05, 1.228859963475947e-04, 4.636862024560163e-01
1575, 9.668887689856852e-01, 2.174979857109564e-02, 1.306516517660025e+00, 3.112322397577622e+02, -2.968692538482963e+01, 3.146981535562577e+05, 3.866834941682580e-02, -1.334819451264566e+00
1576, 1.134396999199259e+01, 8.010766696048909e+00, 1.225484505049787e+00, 3.317993894580176e+02, -3.864805776890586e-02, 2.983758791556233e+05, 1.265709068850255e-01, -3.832283487427614e-01
1577, 1.326102837073201e+01, 6.215069734531718e+00, 1.225266850231522e+00, 3.316162770031289e+02, 1.786086762772067e-02, 2.982737913200664e+05, 7.324564930193425e-02, -3.415481321424438e-01
1578, 1.223520340647348e+01, 6.537795263724945e+00, 1.225444764947508e+00, 3.317156129121281e+02, -6.568776601076873e-02, 2.983425110640480e+05, 9.815417324995759e-02, -3.933635521152459e-01
1579, 1.386343960678535e+01, 2.819307365126018e+00, 1.225171537229311e+00, 3.304708703583867e+02, -1.667240869335181e-01, 2.979300783482869e+05, 3.425419999435887e-02, -3.788887049778739e-01
1580, 1.384216805858756e+01, 1.792500384619004e-01, 1.224661623316381e+00, 3.312004410645869e+02, 2.902376914710086e-01, 2.980653781476496e+05, 3.743785839515497e-03, -4.009157962150826e-01
1581, 1.351777108610482e+01, -1.171088865907771e+00, 1.225173759331953e+00, 3.331869712763956e+02, -2.418283385157712e-01, 2.986872954542615e+05, -1.558356184639270e-02, -4.208747508778560e-01
1582, 1.463916185448409e+01, -8.102734178760302e-01, 1.225216420158628e+00, 3.324990713275885e+02, 1.115556185522665e+00, 2.985218782803116e+05, -7.045502219130281e-03, -3.433587581083912e-01
1583, 1.439837865174957e+01, 1.679187879356209e+00, 1.224844697661611e+00, 3.303280008601896e+02, 3.916970568998088e-01, 2.978287287579712e+05, 1.929954933437994e-02, -3.546235589542879e-01
1584, 1.195187263841184e+01, -7.820215967869417e+00, 1.224687821403491e+00, 3.318883021547493e+02, 2.478274230481717e-02, 2.981966036646524e+05, -1.076225156483811e-01, -3.599497559685956e-01
1585, 1.241287060885485e+01, -6.683174209870784e+00, 1.224719717765530e+00, 3.319522028196064e+02, -8.965945404739174e-03, 2.982205853111140e+05, -9.200623424381296e-02, -3.766207086639536e-01
1586, 1.336745107551906e+01, -4.531523049701276e+00, 1.224764106002571e+00, 3.322236808853575e+02, -1.903412440741174e-02, 2.983100645082250e+05, -5.681710075946896e-02, -3.802891943860776e-01
1587, 1.226395168566166e+01, -5.118431963455809e+00, 1.224666758180121e+00, 3.319298690248820e+02, -8.942515110529564e-02, 2.982043356414740e+05, -8.281527237895289e-02, -4.383235555565734e-01
1588, 1.323162413402225e+01, -5.891148670001076e+00, 1.224749212950455e+00, 3.320135311309538e+02, 7.226905367977804e-02, 2.982442542014848e+05, -6.883386045096243e-02, -3.527270468187700e-01
1589, 9.976428989761152e-01, -1.380579354395040e-03, 1.375974755733691e+00, 2.925636562580993e+02, 1.380809677950336e+01, 3.299684710708003e+05, -6.165198532392126e-04, -1.391705774678208e+00
1590, 2.865660675472924e-02, 3.219307554734409e-02, 1.251087640777646e+00, 3.170360784707296e+02, 8.142430423567215e+01, 3.037544338934699e+05, 5.732793208815180e-02, 4.062470746278760e-01
1591, 2.100187045049746e+00, -1.368507854751397e+01, 1.223745298283832e+00, 3.318840550948811e+02, 2.560933229495316e-01, 2.979747322024812e+05, -3.166155301910968e-01, -1.949593102647189e-01
1592, 4.352100992784976e+00, -1.323326345496066e+01, 1.227064906169124e+00, 3.320476828535396e+02, -5.473618845761415e-01, 2.988403009468497e+05, -2.857863984524189e-01, -2.526684406697814e-01
1593, 3.292876337195221e+00, -1.379481231185076e+01, 1.224906833865856e+00, 3.319538722511544e+02, -9.977421614408854e-03, 2.982846041555131e+05, -2.872948528231141e-01, -2.135798979705984e-01
1594, 5.942185541391196e+00, 1.306891091806192e+01, 1.222542939945022e+00, 3.315269116466271e+02, -9.047837756800610e-01, 2.975529969948212e+05, 2.423535248019471e-01, -2.667018442738421e-01
1595, 2.504469765736204e-02, -3.188700760741343e-02, 1.197051441018836e+00, 3.241605575436544e+02, -8.799117919548112e+01, 2.923976204077502e+05, -5.711876867035860e-02, 4.132111383063801e-01
1596, 9.976068313983334e-01, 7.943098370715895e-03, 1.378565245595039e+00, 2.923810528875614e+02, -1.468681445746789e+01, 3.296411115895201e+05, 1.406692560091299e-02, -1.391709201156613e+00
1597, 9.996433259136788e-01, 7.279950374096936e-03, 1.369041273016236e+00, 2.927012575348107e+02, -4.348218983226570e+00, 3.274759439120601e+05, 1.255752849205384e-02, -1.394969841086583e+00
1598, 9.708114726775929e-01, 2.001227071736380e-02, 1.311187501348569e+00, 3.100223507177778e+02, -2.948559991654121e+01, 3.156635762308495e+05, 3.563229202518771e-02, -1.342132226315946e+00
1599, -1.198812471226067e+01, 6.654905414595155e+00, 1.224320434956275e+00, 3.318429926167052e+02, 7.170553882513934e-02, 2.980880597843599e+05, 1.649739823085946e-01, 2.161712588934077e-01
